NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	preservation_method	cell_type_array
BA_14	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|retinal cone cell|glial cell
BA_15	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|retinal cone cell|glial cell
BA_16	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|muller cell|retinal cone cell
BA_17	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|muller cell|retinal cone cell
BA_18	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|muller cell|retinal cone cell
BA_19	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell
BA_20	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell
BA_21	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell
BA_22	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|glial cell
BA_23	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|glial cell
BA_24	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|glial cell
BA_25	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|glial cell
BA_26	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|muller cell
BA_27	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|muller cell
BA_28	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|muller cell
BA_29	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|muller cell
BA_30	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|muller cell
BA_31	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell|muller cell
BA_32	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell
BA_33	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell
BA_34	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell
BA_35	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell
BA_36	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell
BA_37	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell
BA_38	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_39	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_40	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_41	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_42	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_43	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_44	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_45	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell
BA_46	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell|muller cell
BA_47	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell|muller cell
BA_48	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell|muller cell
BA_49	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell|muller cell
BA_50	BA_D05_5dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129|MONDO_0011284	glaucoma (disease)|cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell|muller cell
BA_51	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell|muller cell
BA_52	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell|retinal rod cell|muller cell
BA_53	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_54	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_55	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_56	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_57	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_58	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_59	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|muller cell
BA_60	BA_D04_10dpp_r1	PrimaryBioSample	MONDO_0005129|MONDO_0011284	cataract (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|muller cell
BA_61	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|muller cell
BA_62	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|muller cell
BA_63	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|muller cell
BA_64	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal rod cell
BA_65	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal rod cell
BA_66	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal rod cell
BA_67	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal rod cell
BA_68	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal rod cell
BA_69	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_70	BA_D04_15dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_71	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_72	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_73	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_74	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_75	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_76	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_77	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell
BA_78	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell|retinal rod cell
BA_79	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell|retinal rod cell
BA_80	BA_D04_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D04	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell|retinal rod cell
BA_81	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell|retinal rod cell
BA_82	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell|retinal cone cell|retinal rod cell
BA_83	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell
BA_84	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell
BA_85	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell
BA_86	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell
BA_87	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_88	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_89	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_90	BA_D03_t1_r2	PrimaryBioSample	MONDO_0005041|MONDO_0011284	glaucoma (disease)|astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D03	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_91	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_92	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_93	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_94	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_95	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_96	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|glial cell
BA_97	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
BA_98	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
BA_99	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
BA_100	BA_D02_02	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
BA_101	BA_D02_01	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
BA_102	BA_D02_01	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
BA_103	BA_D02_01	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
BA_104	BA_D02_01	PrimaryBioSample	MONDO_0005041	glaucoma (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D02	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal rod cell|muller cell
