NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	has_one_label_in_cluster2
AD_10	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_11	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_12	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_13	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_14	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_15	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_16	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_17	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_18	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_19	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_20	AD_D06_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_21	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_22	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_23	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_24	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_25	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_26	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_27	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_28	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_29	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_30	AD_D05_03	DerivedType_Organoid	MONDO_0018076	tuberculosis	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_31	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_32	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_33	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_34	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_35	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_36	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_37	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_38	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_39	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_40	AD_D05_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_41	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_42	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_43	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_44	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_45	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_46	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_47	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_48	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_49	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_50	AD_D05_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D05	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_51	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_52	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_53	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_54	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_55	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_56	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_57	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_58	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_59	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_60	AD_D04_03	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_61	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_62	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_63	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_64	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_65	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_66	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_67	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_68	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_69	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_70	AD_D04_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_71	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_72	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_73	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_74	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_75	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_76	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_77	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_78	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_79	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_80	AD_D04_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D04	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_81	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_82	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_83	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_84	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_85	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_86	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_87	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_88	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_89	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_90	AD_D03_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D03	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_91	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_92	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_93	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_94	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_95	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_96	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_97	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_98	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_99	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_100	AD_D02_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_101	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_102	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_103	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_104	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_105	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_106	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_107	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_108	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_109	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_110	AD_D02_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D02	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_111	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_112	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_113	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_114	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_115	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_116	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_117	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_118	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_119	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_120	AD_D01_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_121	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_122	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_123	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_124	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_125	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_126	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_127	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_128	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_129	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_130	AD_D01_01	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D01	NCBITaxon_9606	Homo sapiens	female	yes	label 2
