NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	preservation_method	manylabel_field
AC_12	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type12
AC_13	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type13
AC_14	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type14
AC_15	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type15
AC_16	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type16
AC_17	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type17
AC_18	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type18
AC_19	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type19
AC_20	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type20
AC_21	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type21
AC_22	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type22
AC_23	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type23
AC_24	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type24
AC_25	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type25
AC_26	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type26
AC_27	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type27
AC_28	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type28
AC_29	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type29
AC_30	AC_D05_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type30
AC_31	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type31
AC_32	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type32
AC_33	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type33
AC_34	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type34
AC_35	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type35
AC_36	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type36
AC_37	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type37
AC_38	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type38
AC_39	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type39
AC_40	AC_D05_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type40
AC_41	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type41
AC_42	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type42
AC_43	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type43
AC_44	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type44
AC_45	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type45
AC_46	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type46
AC_47	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type47
AC_48	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type48
AC_49	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type49
AC_50	AC_D05_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D05	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type50
AC_51	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type51
AC_52	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type52
AC_53	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type53
AC_54	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type54
AC_55	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type55
AC_56	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type56
AC_57	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type57
AC_58	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type58
AC_59	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type59
AC_60	AC_D04_03	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type60
AC_61	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type61
AC_62	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type62
AC_63	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type63
AC_64	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type64
AC_65	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type65
AC_66	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type66
AC_67	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type67
AC_68	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type68
AC_69	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type69
AC_70	AC_D04_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type70
AC_71	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type71
AC_72	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type72
AC_73	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type73
AC_74	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type74
AC_75	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type75
AC_76	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type76
AC_77	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type77
AC_78	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type78
AC_79	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type79
AC_80	AC_D04_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D04	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type80
AC_81	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type81
AC_82	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type82
AC_83	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type83
AC_84	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type84
AC_85	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type85
AC_86	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type86
AC_87	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type87
AC_88	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type88
AC_89	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type89
AC_90	AC_D03_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D03	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type90
AC_91	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type91
AC_92	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type92
AC_93	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type93
AC_94	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type94
AC_95	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type95
AC_96	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type96
AC_97	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type97
AC_98	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type98
AC_99	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type99
AC_100	AC_D02_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type100
AC_101	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type101
AC_102	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type102
AC_103	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type103
AC_104	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type104
AC_105	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type105
AC_106	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type106
AC_107	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type107
AC_108	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type108
AC_109	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type109
AC_110	AC_D02_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D02	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type110
AC_111	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type111
AC_112	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type112
AC_113	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type113
AC_114	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type114
AC_115	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type115
AC_116	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type116
AC_117	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type117
AC_118	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type118
AC_119	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type119
AC_120	AC_D01_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type120
AC_121	AC_D01_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type121
AC_122	AC_D01_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type122
AC_123	AC_D01_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D01	NCBITaxon_10090	Mus musculus	male	yes	Frozen	cell_type123
