NAME	X	Y	Category	Intensity
AC_78	89.86491155	75.27896689	B	5
AC_79	114.5579783	96.58051578	B	5
AC_80	70.97819974	77.01275425	B	5
AC_81	29.12797556	70.52753642	B	5
AC_82	10.54183249	8.079640463	B	5
AC_83	79.75388417	79.33854239	B	5
AC_84	83.52202136	38.85588534	B	5
AC_85	2.263416675	29.7780619	B	5
AC_86	79.32159426	109.5785135	B	5
AC_87	0.282480833	13.95215875	B	5
AC_88	62.67169733	70.55200594	B	5
AC_89	72.70497191	0.461179818	B	6
AC_90	11.95914718	81.40790566	B	6
AC_91	37.30767289	0.418035245	B	6
AC_92	99.44927631	113.3276766	B	6
AC_93	65.99830792	25.24126109	B	6
AC_94	98.7599441	7.654108983	B	6
AC_95	41.25871116	104.9521141	B	6
AC_96	97.75989567	13.93796459	B	6
AC_97	32.33023744	114.6870663	B	6
AC_98	45.84964639	45.27908588	B	6
AC_99	34.68366483	98.86696487	B	6
AC_100	17.03360339	106.2379584	B	6
AC_101	13.22420563	95.81560508	B	6
AC_102	85.66576056	21.31235156	B	6
AC_103	34.86234469	35.50657593	B	6
AC_104	51.17784497	111.6094928	B	6
AC_105	15.43007701	130.9949312	B	6
AC_106	52.50395429	6.961462243	B	6
AC_107	7.108133657	119.6451482	C	7
AC_108	87.51998192	51.47398568	C	7
AC_109	1.271998615	20.96934754	C	7
AC_110	34.62923206	52.70110314	C	7
AC_111	76.73591991	118.8922896	C	7
AC_112	19.62358857	76.48940883	C	7
AC_113	23.94922265	26.91123137	C	7
AC_114	2.102517558	70.06787643	C	7
AC_115	50.97147294	109.2801322	C	7
AC_116	64.72676756	146.5816904	C	7
AC_117	63.60627499	44.64277849	C	7
AC_118	38.787643	6.517710357	C	7
AC_119	35.6609656	38.4238496	C	7
AC_120	56.90436147	7.295290041	C	8
AC_121	67.91846164	111.2379161	C	8
AC_122	37.29300375	10.17885921	C	8
AC_123	9.289915753	48.67288864	C	8
AC_124	47.3360771	154.009029	C	8
AC_125	55.26321898	47.37817741	C	8
AC_126	58.71222282	104.7079358	C	8
AC_127	53.35087567	7.687360164	C	8
AC_128	3.849998135	15.07190598	C	8
AC_129	40.86178168	12.32040152	C	8
AC_130	32.59809848	29.41044563	C	8
AC_131	54.51805978	33.27279069	C	8
AC_132	68.89210995	40.44206052	C	8
AC_133	83.26616012	47.61133034	C	8
AC_134	97.64021029	54.78060017	C	8
AC_135	112.0142605	61.94986999	C	8
AC_136	126.3883106	69.11913982	C	8
AC_137	40.86178168	12.32040152	C	8
AC_138	41	14	C	8
AC_139	41.13821832	15.67959848	C	8
AC_140	41.27643664	17.35919696	C	8
AC_141	41.41465496	19.03879544	C	8
AC_142	41.55287328	20.71839392	C	8
AC_143	41.6910916	22.3979924	C	8
AC_144	41.82930992	24.07759088	C	8
AC_145	41.96752824	25.75718936	C	8
AC_146	42.10574656	27.43678784	C	8
AC_147	42.24396488	29.11638632	C	8
AC_148	42.3821832	30.7959848	C	8
AC_149	42.52040152	32.47558328	C	8
AC_150	42.65861984	34.15518176	C	8
AC_151	42.79683816	35.83478024	C	8
AC_152	42.93505648	37.51437872	C	8
AC_153	43.0732748	39.1939772	C	8
AC_154	43.21149312	40.87357568	C	8
AC_155	43.34971144	42.55317416	C	8
AC_156	43.48792976	44.23277264	C	8
AC_157	43.62614808	45.91237112	C	8
AC_158	43.7643664	47.5919696	C	8
AC_159	43.90258472	49.27156808	C	8
AC_160	44.04080304	50.95116656	C	8
AC_161	44.17902136	52.63076504	C	8
AC_162	44.31723968	54.31036352	C	8
AC_163	44.455458	55.989962	C	8
AC_164	44.59367632	57.66956048	C	8
AC_165	44.73189464	59.34915896	C	8
AC_166	44.87011296	61.02875744	C	8
AC_167	45.00833128	62.70835592	C	8
AC_168	45.1465496	64.3879544	C	8
AC_169	45.28476792	66.06755288	C	8
AC_170	45.42298624	67.74715136	C	8
AC_171	45.56120456	69.42674984	C	8
AC_172	45.69942288	71.10634832	C	8
AC_173	45.8376412	72.7859468	C	8
AC_174	45.97585952	74.46554528	C	8
AC_175	46.11407784	76.14514376	C	8
AC_176	46.25229616	77.82474224	C	8
AC_177	46.39051448	79.50434072	C	8
AC_178	46.5287328	81.1839392	C	8
AC_179	46.66695112	82.86353768	C	8
AC_180	46.80516944	84.54313616	C	8
AC_181	46.94338776	86.22273464	C	8
AC_182	47.08160608	87.90233312	C	8
AC_183	47.2198244	89.5819316	C	8
AC_184	47.35804272	91.26153008	C	8
AC_185	47.49626104	92.94112856	C	8
AC_186	47.63447936	94.62072704	C	8
AC_187	47.77269768	96.30032552	C	8
AC_188	47.910916	97.979924	C	8
AC_189	48.04913432	99.65952248	C	8
AC_190	48.18735264	101.339121	C	8
AC_191	48.32557096	103.0187194	C	8
AC_192	48.46378928	104.6983179	C	8
AC_193	48.6020076	106.3779164	C	8
AC_194	48.74022592	108.0575149	C	8
AC_195	48.87844424	109.7371134	C	8
AC_196	49.01666256	111.4167118	C	8
AC_197	49.15488088	113.0963103	C	8
AC_198	49.2930992	114.7759088	C	8
AC_199	49.43131752	116.4555073	C	8
AC_200	49.56953584	118.1351058	C	8
AC_201	49.70775416	119.8147042	C	8
AC_202	49.84597248	121.4943027	C	8
AC_203	49.9841908	123.1739012	C	8
AC_204	50.12240912	124.8534997	C	8
AC_205	50.26062744	126.5330982	C	8
AC_206	50.39884576	128.2126966	C	8
AC_207	50.53706408	129.8922951	C	8
AC_208	50.6752824	131.5718936	C	8
AC_209	50.81350072	133.2514921	C	8
AC_210	50.95171904	134.9310906	C	8
AC_211	51.08993736	132	C	8
AC_212	51.22815568	129.0689094	C	8
AC_213	51.366374	126.1378189	C	8
AC_214	51.50459232	123.2067283	C	8
AC_215	51.64281064	120.2756378	C	8
AC_216	51.78102896	117.3445472	C	8
AC_217	51.91924728	114.4134566	C	8
AC_218	52.0574656	111.4823661	C	8
AC_219	52.19568392	108.5512755	C	8
AC_220	52.33390224	105.620185	C	8
AC_221	52.47212056	102.6890944	C	8
AC_222	52.61033888	99.75800384	C	8
AC_223	52.7485572	96.82691328	C	8
AC_224	52.88677552	93.89582272	C	8
AC_225	53.02499384	90.96473216	C	8
AC_226	53.16321216	88.0336416	C	8
AC_227	53.30143048	85.10255104	C	8
AC_228	53.4396488	82.17146048	C	8
AC_229	53.57786712	79.24036992	C	8
AC_230	53.71608544	76.30927936	C	8
AC_231	53.85430376	73.3781888	C	8
AC_232	53.99252208	70.44709824	C	8
AC_233	54.1307404	67.51600768	C	8
AC_234	54.26895872	64.58491712	C	8
AC_235	54.40717704	61.65382656	C	8
AC_236	54.54539536	58.722736	C	8
AC_237	54.68361368	55.79164544	C	8
AC_238	54.821832	52.86055488	C	8
AC_239	54.96005032	49.92946432	C	8
AC_240	55.09826864	46.99837376	C	8
AC_241	55.23648696	44.0672832	C	8
AC_242	55.37470528	41.13619264	C	8
AC_243	55.5129236	38.20510208	C	8
AC_244	55.65114192	35.27401152	C	8
AC_245	55.78936024	32.34292096	C	8
AC_246	55.92757856	29.4118304	C	8
AC_247	56.06579688	26.48073984	C	8
AC_248	56.2040152	23.54964928	C	8
AC_249	56.34223352	20.61855872	C	8
AC_250	56.48045184	17.68746816	C	8
AC_251	56.61867016	14.7563776	C	8
AC_252	56.75688848	11.82528704	C	8
AC_253	56.8951068	8.89419648	C	8
AC_254	57.03332512	5.96310592	C	8
AC_255	57.17154344	3.03201536	C	8
AC_256	57.30976176	0.1009248	C	8
AC_257	57.44798008	1	C	8
AC_258	57.5861984	1.8990752	C	8
AC_259	57.72441672	2.7981504	C	8
AC_260	57.86263504	3.6972256	C	8
AC_261	58.00085336	4.5963008	C	8
AC_262	58.13907168	5.495376	C	8
AC_263	58.27729	6.3944512	C	8
AC_264	58.41550832	7.2935264	C	8
AC_265	58.55372664	8.1926016	C	8
AC_266	58.69194496	9.0916768	C	8
AC_267	58.83016328	9.990752	C	8
AC_268	58.9683816	10.8898272	C	8
AC_269	59.10659992	11.7889024	C	8
AC_270	59.24481824	12.6879776	C	8
AC_271	59.38303656	13.5870528	C	8
AC_272	59.52125488	14.486128	C	8
AC_273	59.6594732	15.3852032	C	8
AC_274	59.79769152	16.2842784	C	8
AC_275	59.93590984	17.1833536	C	8
AC_276	60.07412816	18.0824288	C	8
AC_277	60.21234648	18.981504	C	8
AC_278	60.3505648	19.8805792	C	8
AC_279	60.48878312	20.7796544	C	8
AC_280	60.62700144	21.6787296	C	8
AC_281	60.76521976	22.5778048	C	8
AC_282	60.90343808	23.47688	C	8
AC_283	61.0416564	24.3759552	C	8
AC_284	61.17987472	25.2750304	C	8
AC_285	61.31809304	26.1741056	C	8
AC_286	61.45631136	27.0731808	C	8
AC_287	61.59452968	27.972256	C	8
AC_288	61.732748	28.8713312	C	8
AC_289	61.87096632	29.7704064	C	8
AC_290	62.00918464	30.6694816	C	8
AC_291	62.14740296	31.5685568	C	8
AC_292	62.28562128	32.467632	C	8
AC_293	62.4238396	33.3667072	C	8
AC_294	62.56205792	34.2657824	C	8
AC_295	62.70027624	35.1648576	C	8
AC_296	62.83849456	36.0639328	C	8
AC_297	62.97671288	36.963008	C	8
AC_298	63.1149312	37.8620832	C	8
AC_299	63.25314952	38.7611584	C	8
AC_300	63.39136784	39.6602336	C	8
AC_301	63.52958616	40.5593088	C	8
AC_302	63.66780448	41.458384	C	8
