NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living
CA	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CB	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CC	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CD	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CE	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CF	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CG	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CH	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CI	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
CJ	AB_D05_03	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D03	NCBITaxon_9031	Gallus gallus	male	no
DA	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DB	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DC	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DD	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DE	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DF	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DG	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DH	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DI	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
DJ	AB_D05_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D04	NCBITaxon_9031	Gallus gallus	male	no
