NAME	X	Y	Z
FoobarAB3_BazMoo_5DCDCDACDDDAAACB-1	0.5706	0.5834	0.5203
FoobarAB1_BazMoo_4AAABCACBDABABCB-1	0.1225	0.7047	0.1721
FoobarAB4_BazMoo_2ADCDBCBABCDDABD-1	0.8149	0.0551	0.7618
FoobarAB3_BazMoo_4ADDCABCACDDDABA-1	0.259	0.5995	0.3295
FoobarAB4_BazMoo_6CBDCBBABCBCCACC-1	0.2008	0.5097	0.0332
FoobarAB5_BazMoo_6DBCBABDBDCCBDBB-1	0.5273	0.2218	0.8064
FoobarAB8_BazMoo_7DBDBDBBADBACDCA-1	0.2577	0.9693	0.5808
FoobarAB1_BazMoo_4DAACDADCBACDBBC-1	0.7775	0.4792	0.1763
FoobarAB1_BazMoo_1BDBDCBDBBADDDBD-1	0.454	0.2031	0.1708
FoobarAB4_BazMoo_1CADDACABDBDDCBB-1	0.6265	0.8365	0.1903
FoobarAB7_BazMoo_3CBCACDCCDBADBDD-1	0.7773	0.797	0.2134
FoobarAB8_BazMoo_6BDCDCDBABABDBDA-1	0.9105	0.9897	0.5234
FoobarAB1_BazMoo_1ABCDBAACAABBADA-1	0.4095	0.6486	0.2176
FoobarAB7_BazMoo_1BABDCCBADDDAACA-1	0.2118	0.1894	0.1254
FoobarAB1_BazMoo_4CAABBAABACCBCDB-1	0.3986	0.599	0.7116
FoobarAB3_BazMoo_5CADBBABBBADCBAA-1	0.7314	0.3985	0.7442
FoobarAB2_BazMoo_1DADBBCDDCCDDBAA-1	0.8869	0.3919	0.4897
FoobarAB8_BazMoo_4DBBACAABDDCDDCB-1	0.9523	0.9012	0.4543
FoobarAB2_BazMoo_3BCACADAABCACBAA-1	0.1228	0.1414	0.6899
FoobarAB7_BazMoo_7AACCBBDDAACAACD-1	0.6718	0.152	0.351
FoobarAB6_BazMoo_6CBADBBACBCDAAAD-1	0.2918	0.2523	0.0778
FoobarAB2_BazMoo_1DCCBCCBADAABBBC-1	0.9264	0.0375	0.8235
FoobarAB1_BazMoo_8ACABBBBBCDBDDAB-1	0.8866	0.1888	0.5537
FoobarAB2_BazMoo_4BCCBCBBCBBBDBCD-1	0.659	0.8285	0.1099
FoobarAB1_BazMoo_7ABCDBADDBBCDBAB-1	0.0865	0.1592	0.5937
FoobarAB3_BazMoo_3BBDDCAACDDDDCCD-1	0.8818	0.9816	0.5872
FoobarAB3_BazMoo_3BACBDCDBABBCCBB-1	0.7999	0.7786	0.1893
FoobarAB8_BazMoo_8CBBBCBBDDCCCAAB-1	0.5719	0.5309	0.9431
FoobarAB4_BazMoo_5DBADCCDBCDCACBD-1	0.7354	0.4693	0.0415
FoobarAB7_BazMoo_3DBBBBDDABCBAACA-1	0.1092	0.8608	0.3098
FoobarAB7_BazMoo_6BBCACAADCDBCADD-1	0.2574	0.6513	0.1649
FoobarAB2_BazMoo_3BCCBABDDBDCBADB-1	0.4829	0.0038	0.5648
FoobarAB2_BazMoo_1ADDDDDBDBBCBABB-1	0.2999	0.9718	0.3465
FoobarAB6_BazMoo_6AADABCCBBCBCCAD-1	0.3757	0.5211	0.6422
FoobarAB8_BazMoo_7ADDBBCDACCAADCB-1	0.3749	0.7026	0.7982
FoobarAB3_BazMoo_7CBBDCBCABBBABAD-1	0.4204	0.8312	0.0342
FoobarAB1_BazMoo_3BDABBAACDABADBC-1	0.0659	0.9963	0.5882
FoobarAB6_BazMoo_6CBBDBCDBBDBBBDB-1	0.6748	0.9332	0.634
FoobarAB8_BazMoo_6DDACDCACCCDDBBC-1	0.361	0.4568	0.9924
FoobarAB5_BazMoo_5ACADACACBDCBCDA-1	0.9629	0.3218	0.7701
FoobarAB4_BazMoo_6DAADCDCBCDACACA-1	0.7622	0.5858	0.9984
FoobarAB2_BazMoo_1BCDBBADCCCADADA-1	0.6323	0.2605	0.0555
FoobarAB4_BazMoo_8ACCDBDCDACCCACB-1	0.4638	0.447	0.656
FoobarAB6_BazMoo_5CBDBCADBCACCBAD-1	0.4429	0.5958	0.5153
FoobarAB4_BazMoo_7DCACCDBABADDAAA-1	0.8636	0.2109	0.9028
FoobarAB2_BazMoo_4DAADACBADADACCC-1	0.9666	0.1649	0.9228
FoobarAB4_BazMoo_5AADCAACDDADBADB-1	0.0039	0.3746	0.743
FoobarAB8_BazMoo_3CDAADACABCCBBBC-1	0.9669	0.7258	0.1499
FoobarAB7_BazMoo_6CAADADBBCBCBDBC-1	0.287	0.965	0.2176
FoobarAB1_BazMoo_3BCBBACABBACDDAA-1	0.34	0.3116	0.9263
FoobarAB1_BazMoo_7ABCDADCDBADDCAC-1	0.67	0.7543	0.5308
FoobarAB2_BazMoo_1AAABCCACAABCCAD-1	0.1193	0.4512	0.271
FoobarAB8_BazMoo_2BBCCCADDDACBCBB-1	0.8035	0.2684	0.3708
FoobarAB5_BazMoo_3BBBAACBBADAAABD-1	0.217	0.8148	0.5947
FoobarAB4_BazMoo_5BDBDDADCDADADDC-1	0.4176	0.1927	0.0019
FoobarAB4_BazMoo_5ACBBACBCCACADAB-1	0.7114	0.553	0.0767
FoobarAB6_BazMoo_6DCDDACBADDBCBAC-1	0.0209	0.6467	0.5018
FoobarAB3_BazMoo_5AACBCDABBACBBCC-1	0.9986	0.5578	0.5243
FoobarAB7_BazMoo_7BCCBCDCCCDBDAAD-1	0.1107	0.026	0.4614
FoobarAB4_BazMoo_1CDACDCACBCBCADB-1	0.33	0.9126	0.9548
FoobarAB4_BazMoo_3BADCBCABABBABDD-1	0.696	0.3537	0.0545
FoobarAB1_BazMoo_3CBDBCADBCCCBDDA-1	0.3709	0.9669	0.6585
FoobarAB2_BazMoo_5AACDDDCBACDBDDA-1	0.3908	0.3082	0.4572
FoobarAB5_BazMoo_8CCDCCBBDDDADDCC-1	0.4171	0.768	0.3088
FoobarAB6_BazMoo_6DCCBDDBADBBABAC-1	0.0508	0.3388	0.1245
FoobarAB4_BazMoo_7CADBDACBBBBDBCD-1	0.1533	0.2544	0.9016
FoobarAB1_BazMoo_6ADBCBABADBDBACD-1	0.4847	0.58	0.1627
FoobarAB6_BazMoo_5ADCADDDBCACCDCD-1	0.8243	0.1256	0.5761
FoobarAB1_BazMoo_2ADBBCCDCDCCBCCA-1	0.1481	0.9435	0.7
FoobarAB7_BazMoo_4DADADDCAAAADADA-1	0.2572	0.2006	0.365
FoobarAB3_BazMoo_5ACAABCCCADBDDBA-1	0.2065	0.3467	0.2824
FoobarAB7_BazMoo_7DBCCCCDACBCCDDA-1	0.2899	0.9704	0.9966
FoobarAB4_BazMoo_8BDBAACDBCDADCAC-1	0.4243	0.5351	0.9744
FoobarAB5_BazMoo_8DABDCACBCDBBDAD-1	0.4338	0.1385	0.601
FoobarAB5_BazMoo_2BCCABCDAAABABBD-1	0.8891	0.3	0.4595
FoobarAB8_BazMoo_3DCCBDBCBBCDADCC-1	0.5844	0.9565	0.9821
FoobarAB7_BazMoo_7ACDCBDBDABBBCCA-1	0.8964	0.3495	0.0683
FoobarAB6_BazMoo_7BAACBCABABCAACB-1	0.6173	0.6895	0.6654
FoobarAB7_BazMoo_8CDDACDAABACCDDB-1	0.2106	0.3603	0.4575
FoobarAB1_BazMoo_3BADCACCBDBCDABD-1	0.5499	0.2079	0.4804
FoobarAB8_BazMoo_3DBDDDDCAAAABCAB-1	0.79	0.3132	0.9219
FoobarAB2_BazMoo_5BDADCBDACCDABAC-1	0.0286	0.6843	0.5245
FoobarAB5_BazMoo_6DCBCDAAADDBCAAD-1	0.8978	0.2993	0.2904
FoobarAB7_BazMoo_4CBBDDBBCCCCCCAA-1	0.9978	0.3945	0.7775
FoobarAB5_BazMoo_6AAAACCCABCDADAD-1	0.8374	0.3241	0.2549
FoobarAB2_BazMoo_8ACABDBCABBABACD-1	0.1811	0.3209	0.7013
FoobarAB4_BazMoo_5CDCCBABDCCBCDDC-1	0.4958	0.8137	0.0529
FoobarAB8_BazMoo_8CBDDBDCBDCDBADB-1	0.9157	0.5858	0.6018
FoobarAB1_BazMoo_6ABBBDCAACABCBDB-1	0.9375	0.5483	0.4147
FoobarAB1_BazMoo_2CDCBAAADBDABDBC-1	0.8724	0.3861	0.1047
FoobarAB1_BazMoo_7CBAACADCAABBDBB-1	0.3907	0.5462	0.032
FoobarAB6_BazMoo_8BCCABCBCDACABBD-1	0.7327	0.3349	0.4928
FoobarAB5_BazMoo_1DDABCABCCADDDAA-1	0.7975	0.72	0.6714
FoobarAB7_BazMoo_7CCCBAABADBACAAD-1	0.7193	0.2837	0.3142
FoobarAB4_BazMoo_3AAAADBAAAABCCDC-1	0.4275	0.9624	0.2133
FoobarAB5_BazMoo_3BBBDBCCBBACDAAB-1	0.3892	0.7701	0.1463
FoobarAB8_BazMoo_6ACDACDBBDAADCBD-1	0.5486	0.3963	0.4569
FoobarAB5_BazMoo_7BDBBAADBCDBDDAB-1	0.5425	0.1775	0.2919
FoobarAB5_BazMoo_4CACBBACABDAAACB-1	0.3378	0.8842	0.8646
FoobarAB2_BazMoo_8DBBACDDDABCCADB-1	0.5337	0.4741	0.4638
FoobarAB1_BazMoo_2DBCAACCADDDDDDC-1	0.2159	0.819	0.6585
FoobarAB8_BazMoo_4BCDBADCDCACCCDA-1	0.072	0.2643	0.3054
FoobarAB3_BazMoo_8BACDCCCDCCDDCCB-1	0.8702	0.3701	0.5632
FoobarAB4_BazMoo_4DCCBCCABAAACCBB-1	0.1291	0.8162	0.8906
FoobarAB1_BazMoo_8CBCDCBBCCAACADD-1	0.8732	0.1586	0.4558
FoobarAB7_BazMoo_6BBCAADAAACBABDD-1	0.5267	0.8264	0.7772
FoobarAB8_BazMoo_1CDCBDBCADBBDBDA-1	0.104	0.1932	0.6372
FoobarAB6_BazMoo_6BAACBBAADCBCCBB-1	0.65	0.0623	0.6
FoobarAB5_BazMoo_2CCBBAADABABCBCA-1	0.5809	0.0219	0.1606
FoobarAB6_BazMoo_4ACDBBDCDDCCCBAC-1	0.0021	0.7879	0.3642
FoobarAB5_BazMoo_7CABDCDCCCBDBBBD-1	0.8099	0.1507	0.8829
FoobarAB5_BazMoo_1CADBABCCADABDCC-1	0.6371	0.3566	0.4438
FoobarAB5_BazMoo_6DCABDAAABADBDBB-1	0.6818	0.2267	0.6955
FoobarAB2_BazMoo_3BAADDCCDABBBBBC-1	0.6401	0.0029	0.903
FoobarAB8_BazMoo_1ADCCDBCDCBAABAA-1	0.0977	0.9946	0.0889
FoobarAB5_BazMoo_5ACDDCACAADBBABB-1	0.5457	0.0687	0.9082
FoobarAB2_BazMoo_7ADBADBABBDBACCC-1	0.1765	0.6183	0.9631
FoobarAB4_BazMoo_3CBDBCCDCACDBDDD-1	0.4069	0.8806	0.9277
FoobarAB5_BazMoo_6DCAADBDCBBDAADA-1	0.7122	0.931	0.245
FoobarAB8_BazMoo_2DDAABCABDBBACBB-1	0.1224	0.2941	0.39
FoobarAB5_BazMoo_7CBDCADCDDAADBCB-1	0.0711	0.9887	0.641
FoobarAB6_BazMoo_8CADCDCABCADABCD-1	0.0317	0.1847	0.7477
FoobarAB1_BazMoo_7ABBDDADDCDADBBC-1	0.508	0.5413	0.9781
FoobarAB5_BazMoo_2AABCAACAABACCAB-1	0.5993	0.0266	0.7429
FoobarAB6_BazMoo_7CADDDDCABBCDBAC-1	0.7996	0.9664	0.2696
FoobarAB4_BazMoo_8DABDADCCCABBDAC-1	0.921	0.376	0.3434
FoobarAB2_BazMoo_2AADCACCBDDDDDBC-1	0.7911	0.9313	0.5272
FoobarAB4_BazMoo_8ADBACCCACAACACA-1	0.9613	0.2543	0.9312
FoobarAB8_BazMoo_7CBBBBDBBCCDBDCC-1	0.4362	0.8547	0.0641
FoobarAB6_BazMoo_6DDBBCABABCBDDDA-1	0.5771	0.1525	0.7095
FoobarAB2_BazMoo_1CADBBCBCCBAAABC-1	0.8156	0.4206	0.3271
FoobarAB8_BazMoo_6CDBCCACDBACDCDA-1	0.0902	0.207	0.8334
FoobarAB7_BazMoo_4DDCDDDBADDBDCDC-1	0.1153	0.2218	0.3908
FoobarAB6_BazMoo_5CDDACDDAAABBDAA-1	0.0484	0.2426	0.3331
FoobarAB8_BazMoo_5DBCDCAAAACDBBAC-1	0.4706	0.7487	0.809
FoobarAB5_BazMoo_1CAABCCBBABBBCCD-1	0.8393	0.3118	0.9231
FoobarAB7_BazMoo_2ACACDADDBDBABBD-1	0.3517	0.6245	0.2387
FoobarAB2_BazMoo_2DDBBDBBCCCCCCCC-1	0.9243	0.3015	0.8772
FoobarAB1_BazMoo_4DAABCACACCDCACA-1	0.9177	0.0513	0.7181
FoobarAB7_BazMoo_6ADDABBDCBABAADA-1	0.0801	0.4304	0.1995
FoobarAB4_BazMoo_3CCBBCDCAADDDACB-1	0.9189	0.7116	0.8413
FoobarAB5_BazMoo_1DDABDDAACCBAABB-1	0.7412	0.5734	0.1995
FoobarAB6_BazMoo_5ACBDBCCACBDBBCD-1	0.4766	0.1766	0.4241
FoobarAB4_BazMoo_8CBBDBCBCCDBAADC-1	0.6253	0.3498	0.1277
FoobarAB7_BazMoo_4DDCCAADBACCDBCA-1	0.4919	0.5969	0.8672
FoobarAB5_BazMoo_5ADDCCBDDCDDADAA-1	0.639	0.4031	0.7878
FoobarAB4_BazMoo_1AACADAACABBBCCC-1	0.0491	0.3714	0.9955
FoobarAB2_BazMoo_1DCBDCCACBACBDDA-1	0.0698	0.1272	0.8279
FoobarAB7_BazMoo_2BCABDBADCAAADAC-1	0.4592	0.7763	0.827
FoobarAB7_BazMoo_7BBADABDDADACBCB-1	0.7155	0.7659	0.9616
FoobarAB3_BazMoo_5BACCCCABBCAACBD-1	0.86	0.4565	0.7246
FoobarAB8_BazMoo_7CABDABBDBBAAADC-1	0.7985	0.0063	0.153
FoobarAB6_BazMoo_5DDCCDBABBBCCADA-1	0.9518	0.1636	0.7977
FoobarAB5_BazMoo_4ACBABDBABAABDBB-1	0.142	0.7519	0.5561
FoobarAB4_BazMoo_1BDBDCDCBBABAACC-1	0.8231	0.0315	0.3677
FoobarAB1_BazMoo_7ABCCACCDACACCDA-1	0.9583	0.343	0.541
FoobarAB6_BazMoo_5CBDDDBAABBCBBAC-1	0.0044	0.823	0.2271
FoobarAB1_BazMoo_2BABDDBBCABBACCA-1	0.3882	0.9734	0.0049
FoobarAB1_BazMoo_5ABDCDDBDCABBDAD-1	0.4427	0.5771	0.2924
FoobarAB4_BazMoo_8DDCACCCCCBABDCB-1	0.2465	0.6553	0.0548
FoobarAB2_BazMoo_4DAADACCCBAACBAC-1	0.0778	0.8943	0.8986
FoobarAB2_BazMoo_1AAAABABBDCCACDC-1	0.3427	0.94	0.007
FoobarAB1_BazMoo_3CCCBCDDADADDCBA-1	0.5505	0.3564	0.4516
FoobarAB2_BazMoo_5ADCBAADABCABDAB-1	0.2476	0.6452	0.1715
FoobarAB8_BazMoo_2AAABBABDDBDAAAD-1	0.5916	0.1099	0.9242
FoobarAB6_BazMoo_7BABBDDCBAAADCAD-1	0.4521	0.8686	0.5869
FoobarAB2_BazMoo_6DCABCDAAAADBBAD-1	0.2779	0.9777	0.2977
FoobarAB3_BazMoo_5CCCCCACDACAABBA-1	0.0355	0.0988	0.645
FoobarAB8_BazMoo_6ADDCADCDCBDCDDC-1	0.15	0.9688	0.9737
FoobarAB5_BazMoo_3BABCCDBDAAACACC-1	0.7501	0.6295	0.0435
FoobarAB6_BazMoo_4CCBABBDCABCCDDB-1	0.0143	0.2447	0.3574
FoobarAB2_BazMoo_7BDBDBCADDDBBDCB-1	0.1617	0.811	0.3909
FoobarAB3_BazMoo_3ADDCABDDDBBDBCC-1	0.2117	0.4688	0.8653
FoobarAB8_BazMoo_1ABACBDDABAACABD-1	0.4094	0.3889	0.0077
FoobarAB4_BazMoo_4BCBBACDCCBBBACC-1	0.7007	0.3903	0.738
FoobarAB7_BazMoo_2BADBDBAADABDBDB-1	0.6686	0.2021	0.9092
FoobarAB4_BazMoo_2CCACBCBBAABABAA-1	0.6023	0.002	0.9767
FoobarAB7_BazMoo_6ADBCBDCDCBDADAB-1	0.3538	0.313	0.491
FoobarAB7_BazMoo_3AADDBBBBBCBDCBD-1	0.9844	0.2356	0.4591
FoobarAB1_BazMoo_6BCCBBACADAAABDC-1	0.4046	0.5719	0.1775
FoobarAB2_BazMoo_2ACDBCACCDBBBCDC-1	0.267	0.5869	0.2212
FoobarAB3_BazMoo_3BDAADDCCCACCDAA-1	0.7478	0.868	0.6939
FoobarAB3_BazMoo_7DDACADDCBBBAABB-1	0.8697	0.7181	0.9757
FoobarAB4_BazMoo_6CADACDCCCAADACC-1	0.572	0.0226	0.443
FoobarAB8_BazMoo_8ADBCDCDACBCCBCA-1	0.2134	0.8344	0.3351
FoobarAB7_BazMoo_3CABBBCBDDBBDDDD-1	0.0817	0.6208	0.3439
FoobarAB1_BazMoo_6BCBCBDDDAADDDCB-1	0.7114	0.6947	0.7678
FoobarAB8_BazMoo_7BADBDCDCABDDDAB-1	0.2399	0.8735	0.6826
FoobarAB6_BazMoo_7CBAAADCAABBCBAC-1	0.7997	0.6599	0.6585
FoobarAB6_BazMoo_8CACBADDDDCADBBC-1	0.4951	0.0844	0.1004
FoobarAB8_BazMoo_1ADDBBAAADBDBACA-1	0.4875	0.6773	0.5708
FoobarAB4_BazMoo_6ADADCDDBBBAACAB-1	0.8063	0.2994	0.0588
FoobarAB7_BazMoo_5CABBCDCBADCCABB-1	0.1044	0.4037	0.8478
FoobarAB8_BazMoo_3DCCADDAACCACBAD-1	0.8622	0.631	0.3611
FoobarAB1_BazMoo_4ABBBDCABAABCCCB-1	0.3689	0.2852	0.6658
FoobarAB3_BazMoo_2DCDAABBACADAACA-1	0.2475	0.6653	0.0782
FoobarAB2_BazMoo_8DCABACDCAAADCDB-1	0.8766	0.7732	0.2374
FoobarAB6_BazMoo_4DCBCCBADDCABDAC-1	0.0381	0.418	0.523
FoobarAB7_BazMoo_7ACBBAABABAACCBC-1	0.4629	0.0989	0.0668
FoobarAB6_BazMoo_6CDBBDADBBCABADA-1	0.9522	0.8008	0.3074
FoobarAB7_BazMoo_7DBCCDBBBCCCACCD-1	0.7656	0.2662	0.357
FoobarAB5_BazMoo_4AAADBBADAADBBCA-1	0.7028	0.8355	0.0637
FoobarAB7_BazMoo_4BBDDBABCAADDBDA-1	0.1494	0.1007	0.1434
FoobarAB3_BazMoo_8ABCBDABBDBDCCBC-1	0.878	0.643	0.1854
FoobarAB5_BazMoo_6BCDBDDBBDDDCAAD-1	0.1701	0.9477	0.7837
FoobarAB8_BazMoo_3ABDBCDCCBCCBABA-1	0.3514	0.1252	0.8801
FoobarAB5_BazMoo_8BCCACABBDBDCACA-1	0.7959	0.7831	0.7364
FoobarAB8_BazMoo_6ACCBBCACACABAAC-1	0.4767	0.2057	0.3698
FoobarAB7_BazMoo_8DDABDADBACADBDB-1	0.986	0.0846	0.702
FoobarAB2_BazMoo_2CDDDBADCDBABBBC-1	0.5293	0.9758	0.8308
FoobarAB1_BazMoo_3CCCDDDCABBDAABA-1	0.3935	0.0636	0.5588
FoobarAB4_BazMoo_2DDBADBDACABDCCB-1	0.3839	0.8097	0.7826
FoobarAB5_BazMoo_1BBABDDADBBDBDAD-1	0.6722	0.2535	0.6535
FoobarAB2_BazMoo_4BDBDBBCDBDBBCAC-1	0.5383	0.4762	0.9578
FoobarAB5_BazMoo_3DBACDBADCAADAAC-1	0.1969	0.1119	0.9326
FoobarAB3_BazMoo_6BCCADBBACDDCCAC-1	0.8067	0.665	0.233
FoobarAB8_BazMoo_8DCACDCCACADCCBB-1	0.8279	0.8554	0.1278
FoobarAB5_BazMoo_6ADADDADDBACACDD-1	0.4824	0.4519	0.0509
FoobarAB7_BazMoo_1BBBAACABCCAABCB-1	0.9798	0.3774	0.2121
FoobarAB8_BazMoo_6BDCCCCDDDBCDCCC-1	0.7954	0.8085	0.0338
FoobarAB6_BazMoo_6DDCDCACBACCCDBD-1	0.7426	0.3621	0.3656
FoobarAB6_BazMoo_6BBCACAABBDBCADB-1	0.5353	0.277	0.5344
FoobarAB7_BazMoo_5DDCDBBCCADBCDCA-1	0.3313	0.9549	0.8341
