NAME	CLUSTER	SUBCLUSTER
FoobarAB5_BazMoo_6DBCBABDBDCCBDBB-1	P	PPP
FoobarAB8_BazMoo_7DBDBDBBADBACDCA-1	P	PPP
FoobarAB1_BazMoo_4DAACDADCBACDBBC-1	P	PPP
FoobarAB1_BazMoo_1BDBDCBDBBADDDBD-1	P	PPP
FoobarAB4_BazMoo_1CADDACABDBDDCBB-1	P	PPP
FoobarAB7_BazMoo_3CBCACDCCDBADBDD-1	P	PPP
FoobarAB8_BazMoo_6BDCDCDBABABDBDA-1	P	PPP
FoobarAB1_BazMoo_1ABCDBAACAABBADA-1	P	PPP
FoobarAB7_BazMoo_1BABDCCBADDDAACA-1	P	PPP
FoobarAB1_BazMoo_4CAABBAABACCBCDB-1	P	PPP
FoobarAB3_BazMoo_5CADBBABBBADCBAA-1	P	PPP
FoobarAB2_BazMoo_1DADBBCDDCCDDBAA-1	P	PPP
FoobarAB8_BazMoo_4DBBACAABDDCDDCB-1	P	PPP
FoobarAB2_BazMoo_3BCACADAABCACBAA-1	P	PPP
FoobarAB7_BazMoo_7AACCBBDDAACAACD-1	P	PPP
FoobarAB6_BazMoo_6CBADBBACBCDAAAD-1	P	PPP
FoobarAB2_BazMoo_1DCCBCCBADAABBBC-1	P	PPP
FoobarAB1_BazMoo_8ACABBBBBCDBDDAB-1	P	PPP
FoobarAB2_BazMoo_4BCCBCBBCBBBDBCD-1	P	PPP
FoobarAB1_BazMoo_7ABCDBADDBBCDBAB-1	P	PPP
FoobarAB3_BazMoo_3BBDDCAACDDDDCCD-1	P	PPP
FoobarAB3_BazMoo_3BACBDCDBABBCCBB-1	P	PPP
FoobarAB8_BazMoo_8CBBBCBBDDCCCAAB-1	P	PPP
FoobarAB4_BazMoo_5DBADCCDBCDCACBD-1	P	PPP
FoobarAB7_BazMoo_3DBBBBDDABCBAACA-1	P	PPP
FoobarAB7_BazMoo_6BBCACAADCDBCADD-1	P	PPP
FoobarAB2_BazMoo_3BCCBABDDBDCBADB-1	P	PPP
FoobarAB2_BazMoo_1ADDDDDBDBBCBABB-1	P	PPP
FoobarAB6_BazMoo_6AADABCCBBCBCCAD-1	P	PPP
FoobarAB8_BazMoo_7ADDBBCDACCAADCB-1	P	PPP
FoobarAB3_BazMoo_7CBBDCBCABBBABAD-1	P	PPP
FoobarAB1_BazMoo_3BDABBAACDABADBC-1	P	PPP
FoobarAB6_BazMoo_6CBBDBCDBBDBBBDB-1	P	PPP
FoobarAB8_BazMoo_6DDACDCACCCDDBBC-1	P	PPP
FoobarAB5_BazMoo_5ACADACACBDCBCDA-1	P	PPP
FoobarAB4_BazMoo_6DAADCDCBCDACACA-1	P	PPP
FoobarAB2_BazMoo_1BCDBBADCCCADADA-1	P	PPP
FoobarAB4_BazMoo_8ACCDBDCDACCCACB-1	P	PPP
FoobarAB6_BazMoo_5CBDBCADBCACCBAD-1	P	PPP
FoobarAB4_BazMoo_7DCACCDBABADDAAA-1	P	PPP
FoobarAB2_BazMoo_4DAADACBADADACCC-1	P	PPP
FoobarAB4_BazMoo_5AADCAACDDADBADB-1	P	PPP
FoobarAB8_BazMoo_3CDAADACABCCBBBC-1	P	PPP
FoobarAB7_BazMoo_6CAADADBBCBCBDBC-1	P	PPP
FoobarAB1_BazMoo_3BCBBACABBACDDAA-1	P	PPP
FoobarAB1_BazMoo_7ABCDADCDBADDCAC-1	P	PPP
FoobarAB2_BazMoo_1AAABCCACAABCCAD-1	P	PPP
FoobarAB8_BazMoo_2BBCCCADDDACBCBB-1	P	PPP
FoobarAB5_BazMoo_3BBBAACBBADAAABD-1	P	PPP
FoobarAB4_BazMoo_5BDBDDADCDADADDC-1	P	PPP
FoobarAB4_BazMoo_5ACBBACBCCACADAB-1	P	PPP
FoobarAB6_BazMoo_6DCDDACBADDBCBAC-1	P	PPP
FoobarAB3_BazMoo_5AACBCDABBACBBCC-1	P	PPP
FoobarAB7_BazMoo_7BCCBCDCCCDBDAAD-1	P	PPP
FoobarAB4_BazMoo_1CDACDCACBCBCADB-1	P	PPP
FoobarAB4_BazMoo_3BADCBCABABBABDD-1	P	PPP
FoobarAB1_BazMoo_3CBDBCADBCCCBDDA-1	P	PPP
FoobarAB2_BazMoo_5AACDDDCBACDBDDA-1	P	PPP
FoobarAB5_BazMoo_8CCDCCBBDDDADDCC-1	P	PPP
FoobarAB6_BazMoo_6DCCBDDBADBBABAC-1	P	PPP
FoobarAB4_BazMoo_7CADBDACBBBBDBCD-1	P	PPP
FoobarAB1_BazMoo_6ADBCBABADBDBACD-1	P	PPP
FoobarAB6_BazMoo_5ADCADDDBCACCDCD-1	P	PPP
FoobarAB1_BazMoo_2ADBBCCDCDCCBCCA-1	P	PPP
FoobarAB7_BazMoo_4DADADDCAAAADADA-1	P	PPP
FoobarAB3_BazMoo_5ACAABCCCADBDDBA-1	P	PPP
FoobarAB7_BazMoo_7DBCCCCDACBCCDDA-1	P	PPP
FoobarAB4_BazMoo_8BDBAACDBCDADCAC-1	P	PPP
FoobarAB5_BazMoo_8DABDCACBCDBBDAD-1	P	PPP
FoobarAB5_BazMoo_2BCCABCDAAABABBD-1	P	PPP
FoobarAB8_BazMoo_3DCCBDBCBBCDADCC-1	P	PPP
FoobarAB7_BazMoo_7ACDCBDBDABBBCCA-1	P	PPP
FoobarAB6_BazMoo_7BAACBCABABCAACB-1	P	PPP
FoobarAB7_BazMoo_8CDDACDAABACCDDB-1	P	PPP
FoobarAB1_BazMoo_3BADCACCBDBCDABD-1	P	PPP
FoobarAB8_BazMoo_3DBDDDDCAAAABCAB-1	P	PPP
FoobarAB2_BazMoo_5BDADCBDACCDABAC-1	P	PPP
FoobarAB5_BazMoo_6DCBCDAAADDBCAAD-1	P	PPP
FoobarAB7_BazMoo_4CBBDDBBCCCCCCAA-1	P	PPP
FoobarAB5_BazMoo_6AAAACCCABCDADAD-1	P	PPP
FoobarAB2_BazMoo_8ACABDBCABBABACD-1	P	PPP
FoobarAB4_BazMoo_5CDCCBABDCCBCDDC-1	P	PPP
FoobarAB8_BazMoo_8CBDDBDCBDCDBADB-1	P	PPP
FoobarAB1_BazMoo_6ABBBDCAACABCBDB-1	P	PPP
FoobarAB1_BazMoo_2CDCBAAADBDABDBC-1	P	PPP
FoobarAB1_BazMoo_7CBAACADCAABBDBB-1	P	PPP
FoobarAB6_BazMoo_8BCCABCBCDACABBD-1	P	PPP
FoobarAB5_BazMoo_1DDABCABCCADDDAA-1	P	PPP
FoobarAB7_BazMoo_7CCCBAABADBACAAD-1	P	PPP
FoobarAB4_BazMoo_3AAAADBAAAABCCDC-1	P	PPP
FoobarAB5_BazMoo_3BBBDBCCBBACDAAB-1	P	PPP
FoobarAB8_BazMoo_6ACDACDBBDAADCBD-1	P	PPP
FoobarAB5_BazMoo_7BDBBAADBCDBDDAB-1	P	PPP
FoobarAB5_BazMoo_4CACBBACABDAAACB-1	P	PPP
FoobarAB2_BazMoo_8DBBACDDDABCCADB-1	P	PPP
FoobarAB1_BazMoo_2DBCAACCADDDDDDC-1	P	PPP
FoobarAB8_BazMoo_4BCDBADCDCACCCDA-1	P	PPP
FoobarAB3_BazMoo_8BACDCCCDCCDDCCB-1	P	PPP
FoobarAB4_BazMoo_4DCCBCCABAAACCBB-1	P	PPP
FoobarAB1_BazMoo_8CBCDCBBCCAACADD-1	P	PPP
FoobarAB7_BazMoo_6BBCAADAAACBABDD-1	P	PPP
FoobarAB8_BazMoo_1CDCBDBCADBBDBDA-1	P	PPP
FoobarAB6_BazMoo_6BAACBBAADCBCCBB-1	P	PPP
FoobarAB5_BazMoo_2CCBBAADABABCBCA-1	P	PPP
FoobarAB6_BazMoo_4ACDBBDCDDCCCBAC-1	P	PPP
FoobarAB5_BazMoo_7CABDCDCCCBDBBBD-1	P	PPP
FoobarAB5_BazMoo_1CADBABCCADABDCC-1	P	PPP
FoobarAB5_BazMoo_6DCABDAAABADBDBB-1	P	PPP
FoobarAB2_BazMoo_3BAADDCCDABBBBBC-1	P	PPP
FoobarAB8_BazMoo_1ADCCDBCDCBAABAA-1	P	PPP
FoobarAB5_BazMoo_5ACDDCACAADBBABB-1	P	PPP
FoobarAB2_BazMoo_7ADBADBABBDBACCC-1	P	PPP
FoobarAB4_BazMoo_3CBDBCCDCACDBDDD-1	P	PPP
FoobarAB5_BazMoo_6DCAADBDCBBDAADA-1	P	PPP
FoobarAB8_BazMoo_2DDAABCABDBBACBB-1	P	PPP
FoobarAB5_BazMoo_7CBDCADCDDAADBCB-1	P	PPP
FoobarAB6_BazMoo_8CADCDCABCADABCD-1	P	PPP
FoobarAB1_BazMoo_7ABBDDADDCDADBBC-1	P	PPP
FoobarAB5_BazMoo_2AABCAACAABACCAB-1	P	PPP
FoobarAB6_BazMoo_7CADDDDCABBCDBAC-1	P	PPP
FoobarAB4_BazMoo_8DABDADCCCABBDAC-1	P	PPP
FoobarAB2_BazMoo_2AADCACCBDDDDDBC-1	P	PPP
FoobarAB4_BazMoo_8ADBACCCACAACACA-1	P	PPP
FoobarAB8_BazMoo_7CBBBBDBBCCDBDCC-1	P	PPP
FoobarAB6_BazMoo_6DDBBCABABCBDDDA-1	P	PPP
FoobarAB2_BazMoo_1CADBBCBCCBAAABC-1	P	PPP
FoobarAB8_BazMoo_6CDBCCACDBACDCDA-1	P	PPP
FoobarAB7_BazMoo_4DDCDDDBADDBDCDC-1	P	PPP
FoobarAB6_BazMoo_5CDDACDDAAABBDAA-1	P	PPP
FoobarAB8_BazMoo_5DBCDCAAAACDBBAC-1	P	PPP
FoobarAB5_BazMoo_1CAABCCBBABBBCCD-1	P	PPP
FoobarAB7_BazMoo_2ACACDADDBDBABBD-1	P	PPP
FoobarAB2_BazMoo_2DDBBDBBCCCCCCCC-1	P	PPP
FoobarAB1_BazMoo_4DAABCACACCDCACA-1	P	PPP
FoobarAB7_BazMoo_6ADDABBDCBABAADA-1	P	PPP
FoobarAB4_BazMoo_3CCBBCDCAADDDACB-1	P	PPP
FoobarAB5_BazMoo_1DDABDDAACCBAABB-1	P	PPP
FoobarAB6_BazMoo_5ACBDBCCACBDBBCD-1	P	PPP
FoobarAB4_BazMoo_8CBBDBCBCCDBAADC-1	P	PPP
FoobarAB7_BazMoo_4DDCCAADBACCDBCA-1	P	PPP
FoobarAB5_BazMoo_5ADDCCBDDCDDADAA-1	P	PPP
FoobarAB4_BazMoo_1AACADAACABBBCCC-1	P	PPP
FoobarAB2_BazMoo_1DCBDCCACBACBDDA-1	P	PPP
FoobarAB7_BazMoo_2BCABDBADCAAADAC-1	P	PPP
FoobarAB7_BazMoo_7BBADABDDADACBCB-1	P	PPP
FoobarAB3_BazMoo_5BACCCCABBCAACBD-1	P	PPP
FoobarAB8_BazMoo_7CABDABBDBBAAADC-1	P	PPP
FoobarAB6_BazMoo_5DDCCDBABBBCCADA-1	P	PPP
FoobarAB5_BazMoo_4ACBABDBABAABDBB-1	P	PPP
FoobarAB4_BazMoo_1BDBDCDCBBABAACC-1	P	PPP
FoobarAB1_BazMoo_7ABCCACCDACACCDA-1	P	PPP
FoobarAB6_BazMoo_5CBDDDBAABBCBBAC-1	P	PPP
FoobarAB1_BazMoo_2BABDDBBCABBACCA-1	P	PPP
FoobarAB1_BazMoo_5ABDCDDBDCABBDAD-1	P	PPP
FoobarAB4_BazMoo_8DDCACCCCCBABDCB-1	P	PPP
FoobarAB2_BazMoo_4DAADACCCBAACBAC-1	P	PPP
FoobarAB2_BazMoo_1AAAABABBDCCACDC-1	P	PPP
FoobarAB1_BazMoo_3CCCBCDDADADDCBA-1	P	PPP
FoobarAB2_BazMoo_5ADCBAADABCABDAB-1	P	PPP
FoobarAB8_BazMoo_2AAABBABDDBDAAAD-1	P	PPP
FoobarAB6_BazMoo_7BABBDDCBAAADCAD-1	P	PPP
FoobarAB2_BazMoo_6DCABCDAAAADBBAD-1	P	PPP
FoobarAB3_BazMoo_5CCCCCACDACAABBA-1	P	PPP
FoobarAB8_BazMoo_6ADDCADCDCBDCDDC-1	P	PPP
FoobarAB5_BazMoo_3BABCCDBDAAACACC-1	P	PPP
FoobarAB6_BazMoo_4CCBABBDCABCCDDB-1	P	PPP
FoobarAB2_BazMoo_7BDBDBCADDDBBDCB-1	P	PPP
FoobarAB3_BazMoo_3ADDCABDDDBBDBCC-1	P	PPP
FoobarAB8_BazMoo_1ABACBDDABAACABD-1	P	PPP
FoobarAB4_BazMoo_4BCBBACDCCBBBACC-1	P	PPP
FoobarAB7_BazMoo_2BADBDBAADABDBDB-1	P	PPP
FoobarAB4_BazMoo_2CCACBCBBAABABAA-1	P	PPP
FoobarAB7_BazMoo_6ADBCBDCDCBDADAB-1	P	PPP
FoobarAB7_BazMoo_3AADDBBBBBCBDCBD-1	P	PPP
FoobarAB1_BazMoo_6BCCBBACADAAABDC-1	P	PPP
FoobarAB2_BazMoo_2ACDBCACCDBBBCDC-1	P	PPP
FoobarAB3_BazMoo_3BDAADDCCCACCDAA-1	P	PPP
FoobarAB3_BazMoo_7DDACADDCBBBAABB-1	P	PPP
FoobarAB4_BazMoo_6CADACDCCCAADACC-1	P	PPP
FoobarAB8_BazMoo_8ADBCDCDACBCCBCA-1	P	PPP
FoobarAB7_BazMoo_3CABBBCBDDBBDDDD-1	P	PPP
FoobarAB1_BazMoo_6BCBCBDDDAADDDCB-1	P	PPP
FoobarAB8_BazMoo_7BADBDCDCABDDDAB-1	P	PPP
FoobarAB6_BazMoo_7CBAAADCAABBCBAC-1	P	PPP
FoobarAB6_BazMoo_8CACBADDDDCADBBC-1	P	PPP
FoobarAB8_BazMoo_1ADDBBAAADBDBACA-1	P	PPP
FoobarAB4_BazMoo_6ADADCDDBBBAACAB-1	P	PPP
FoobarAB7_BazMoo_5CABBCDCBADCCABB-1	P	PPP
FoobarAB8_BazMoo_3DCCADDAACCACBAD-1	P	PPP
FoobarAB1_BazMoo_4ABBBDCABAABCCCB-1	P	PPP
FoobarAB3_BazMoo_2DCDAABBACADAACA-1	P	PPP
FoobarAB2_BazMoo_8DCABACDCAAADCDB-1	P	PPP
FoobarAB6_BazMoo_4DCBCCBADDCABDAC-1	P	PPP
FoobarAB7_BazMoo_7ACBBAABABAACCBC-1	P	PPP
FoobarAB6_BazMoo_6CDBBDADBBCABADA-1	P	PPP
FoobarAB7_BazMoo_7DBCCDBBBCCCACCD-1	P	PPP
FoobarAB5_BazMoo_4AAADBBADAADBBCA-1	P	PPP
FoobarAB7_BazMoo_4BBDDBABCAADDBDA-1	P	PPP
FoobarAB3_BazMoo_8ABCBDABBDBDCCBC-1	P	PPP
FoobarAB5_BazMoo_6BCDBDDBBDDDCAAD-1	P	PPP
FoobarAB8_BazMoo_3ABDBCDCCBCCBABA-1	P	PPP
FoobarAB5_BazMoo_8BCCACABBDBDCACA-1	P	PPP
FoobarAB8_BazMoo_6ACCBBCACACABAAC-1	P	PPP
FoobarAB7_BazMoo_8DDABDADBACADBDB-1	P	PPP
FoobarAB2_BazMoo_2CDDDBADCDBABBBC-1	P	PPP
FoobarAB1_BazMoo_3CCCDDDCABBDAABA-1	P	PPP
FoobarAB4_BazMoo_2DDBADBDACABDCCB-1	P	PPP
FoobarAB5_BazMoo_1BBABDDADBBDBDAD-1	P	PPP
FoobarAB2_BazMoo_4BDBDBBCDBDBBCAC-1	P	PPP
FoobarAB5_BazMoo_3DBACDBADCAADAAC-1	P	PPP
FoobarAB3_BazMoo_6BCCADBBACDDCCAC-1	P	PPP
FoobarAB8_BazMoo_8DCACDCCACADCCBB-1	P	PPP
FoobarAB5_BazMoo_6ADADDADDBACACDD-1	P	PPP
FoobarAB7_BazMoo_1BBBAACABCCAABCB-1	P	PPP
FoobarAB8_BazMoo_6BDCCCCDDDBCDCCC-1	P	PPP
FoobarAB6_BazMoo_6DDCDCACBACCCDBD-1	P	PPP
FoobarAB6_BazMoo_6BBCACAABBDBCADB-1	P	PPP
FoobarAB7_BazMoo_5DDCDBBCCADBCDCA-1	P	PPP
FoobarAB1_BazMoo_4ACCBBABCBCBACDA-1	P	PPP
FoobarAB6_BazMoo_6BDBDDBAADBABDAC-1	P	PPP
FoobarAB6_BazMoo_3ADBACCCDACCAAAB-1	P	PPP
FoobarAB2_BazMoo_3DCDBCACBBCAABBC-1	P	PPP
FoobarAB2_BazMoo_5DBADBABCDCCCDAC-1	P	PPP
FoobarAB8_BazMoo_5DBAAADABBBBABCD-1	P	PPP
FoobarAB5_BazMoo_2AAAABABAABCADDD-1	P	PPP
FoobarAB4_BazMoo_5BABCCCCDACAABDC-1	P	PPP
FoobarAB3_BazMoo_3BBBADADDCAAACDD-1	P	PPP
FoobarAB8_BazMoo_5DAABBADBDCBACCC-1	P	PPP
FoobarAB7_BazMoo_2CCCDCADDCCBDDCD-1	P	PPP
FoobarAB7_BazMoo_3ACCBDBAAACADBDA-1	P	PPP
FoobarAB5_BazMoo_7BBCAABDCCDAADBA-1	P	PPP
FoobarAB7_BazMoo_5BBCDCCBABAADDBC-1	P	PPP
FoobarAB1_BazMoo_7DDBBBBBCDBDACDC-1	P	PPP
FoobarAB8_BazMoo_2ABDBCCCABBDBDDD-1	P	PPP
FoobarAB4_BazMoo_1CACCDCBCBCCCADB-1	P	PPP
FoobarAB7_BazMoo_7ABADAABCBBBDBAC-1	P	PPP
FoobarAB3_BazMoo_4DAAADDBCACDABCD-1	P	PPP
FoobarAB2_BazMoo_2BBACBCABDBACCDB-1	P	PPP
FoobarAB7_BazMoo_6ACDAACDDDDCBDCD-1	P	PPP
FoobarAB8_BazMoo_3CADABACADBBBCDD-1	P	PPP
FoobarAB1_BazMoo_6AADADDADCBADAAD-1	P	PPP
FoobarAB3_BazMoo_3BCDBCDDADCBDABC-1	P	PPP
FoobarAB4_BazMoo_6BAACABCACDCBBDD-1	P	PPP
FoobarAB7_BazMoo_1CAAABCDDADBCCBA-1	P	PPP
FoobarAB5_BazMoo_1BCBCCBBDACBDCDC-1	P	PPP
FoobarAB7_BazMoo_1CCABAAADADCADDB-1	P	PPP
FoobarAB7_BazMoo_8DBCDABDDABDBBBB-1	P	PPP
FoobarAB6_BazMoo_8BCBBCDACCCBAAAD-1	P	PPP
FoobarAB2_BazMoo_7ABBBCCDBBADADCA-1	P	PPP
FoobarAB3_BazMoo_6DACAADBAABCCDBC-1	P	PPP
FoobarAB2_BazMoo_2CAAACABDBBBDABD-1	P	PPP
FoobarAB6_BazMoo_2CDCDACCACADBADA-1	P	PPP
FoobarAB7_BazMoo_6ACADBCCCCCABABD-1	P	PPP
FoobarAB4_BazMoo_1CACCBCACBDBBDAA-1	P	PPP
FoobarAB6_BazMoo_3CADCCDACCDCAADD-1	P	PPP
FoobarAB2_BazMoo_3CBBABACABABBBBD-1	P	PPP
FoobarAB8_BazMoo_7BADADBACBCACBCC-1	P	PPP
FoobarAB8_BazMoo_1ACDDBBDACDDDDDD-1	P	PPP
FoobarAB4_BazMoo_1CCACBCCDCCDABDA-1	P	PPP
FoobarAB8_BazMoo_8CBADBDBDBACABAA-1	P	PPP
FoobarAB7_BazMoo_5DCADDBCADCDACBD-1	P	PPP
FoobarAB3_BazMoo_7BBDBBCBAAABDCCB-1	P	PPP
FoobarAB6_BazMoo_2DDCBCBADBBBDAAC-1	P	PPP
FoobarAB7_BazMoo_8DABCAAAAACDCABD-1	P	PPP
FoobarAB5_BazMoo_5BBDBDCCADAACBAC-1	P	PPP
FoobarAB8_BazMoo_5CCDCDCBBCBBBDDA-1	P	PPP
FoobarAB4_BazMoo_8ACDABCDAAAACDDA-1	P	PPP
FoobarAB3_BazMoo_6BBBDCBCBBBDDBDC-1	P	PPP
FoobarAB2_BazMoo_1BADCBACCBBCABCC-1	P	PPP
FoobarAB3_BazMoo_2BADDCDCADABABDC-1	P	PPP
FoobarAB2_BazMoo_3BACCDCDDBCABBDD-1	P	PPP
FoobarAB5_BazMoo_4BDDDACBBAABAAAD-1	P	PPP
FoobarAB4_BazMoo_8ACDBAADDBCADBCD-1	P	PPP
FoobarAB5_BazMoo_1ADADCBDBCDCBBDA-1	P	PPP
FoobarAB5_BazMoo_3DCCCACADDBBDDCA-1	P	PPP
FoobarAB1_BazMoo_5DCCBDCACBACCADB-1	P	PPP
FoobarAB1_BazMoo_2CBDBABBBBCBDDAA-1	P	PPP
FoobarAB4_BazMoo_2ADABCCDDCBDBAAA-1	P	PPP
FoobarAB4_BazMoo_4BACCADBCDABBADB-1	P	PPP
FoobarAB5_BazMoo_3DBBDDAABDBCCCDC-1	P	PPP
FoobarAB5_BazMoo_3CABBAAABDDACBCD-1	P	PPP
FoobarAB8_BazMoo_4DABBABBACBDCDCD-1	P	PPP
FoobarAB1_BazMoo_1BCDACBDAADCDDAB-1	P	PPP
FoobarAB7_BazMoo_2ADDBCCDDABCBDCA-1	P	PPP
FoobarAB1_BazMoo_1DBCBDADADABCAAD-1	P	PPP
FoobarAB6_BazMoo_2ACDACCDCAAAADDA-1	P	PPP
FoobarAB7_BazMoo_6DCBBACBCDBDDABA-1	P	PPP
FoobarAB2_BazMoo_6ADBACBCACDDABDA-1	P	PPP
FoobarAB8_BazMoo_1BBBADAAAABBADDB-1	P	PPP
FoobarAB7_BazMoo_4ACDCADDBDCDDAAB-1	P	PPP
