GENE	AE_1	AE_2
MMP23B	112.2	113.2
CDK11B	113.2	114.2
FO704657.1	114.2	115.2
SLC35E2B	115.2	116.2
AL691432.1	116.2	117.2
MMP23A	117.2	118.2
CDK11A	118.2	119.2
AL031282.2	119.2	120.2
AL031282.1	120.2	121.2
SLC35E2A	121.2	122.2
NADK	122.2	123.2
GNB1	123.2	124.2
AL109917.1	124.2	125.2
CALML6	125.2	126.2
TMEM52	126.2	127.2
CFAP74	127.2	128.2
AL391845.2	128.2	129.2
GABRD	129.2	130.2
AL391845.1	130.2	131.2
PRKCZ	131.2	132.2
AL590822.2	132.2	133.2
PRKCZ-AS1	133.2	134.2
FAAP20	134.2	135.2
AL590822.1	135.2	136.2
SKI	136.2	137.2
AL590822.3	137.2	138.2
MORN1	138.2	139.2
AL589739.1	139.2	140.2
AL513477.1	140.2	141.2
AL513477.2	141.2	142.2
RER1	142.2	143.2
PEX10	143.2	144.2
PLCH2	144.2	145.2
AL139246.1	145.2	146.2
AL139246.4	146.2	147.2
PANK4	147.2	148.2
HES5	148.2	149.2
AL139246.5	149.2	150.2
TNFRSF14-AS1	150.2	151.2
TNFRSF14	151.2	152.2
AL139246.2	152.2	153.2
AL139246.3	153.2	154.2
PRXL2B	154.2	155.2
MMEL1	155.2	156.2
MMEL1-AS1	156.2	157.2
TTC34	157.2	158.2
AC242022.2	158.2	159.2
AC242022.1	159.2	160.2
AL592464.2	160.2	161.2
AL592464.1	161.2	162.2
AL589702.1	162.2	163.2
ACTRT2	163.2	164.2
PRDM16-DT	164.2	165.2
PRDM16	165.2	166.2
AL008733.1	166.2	167.2
AL512383.1	167.2	168.2
AL590438.1	168.2	169.2
ARHGEF16	169.2	170.2
AL512413.1	170.2	171.2
MEGF6	171.2	172.2
AL513320.1	172.2	173.2
TPRG1L	173.2	174.2
WRAP73	174.2	175.2
TP73	175.2	176.2
TP73-AS3	176.2	177.2
TP73-AS2	177.2	178.2
TP73-AS1	178.2	179.2
CCDC27	179.2	180.2
SMIM1	180.2	181.2
LRRC47	181.2	182.2
AL365330.1	182.2	183.2
CEP104	183.2	184.2
DFFB	184.2	185.2
C1orf174	185.2	186.2
LINC01134	186.2	187.2
LINC01346	187.2	188.2
LINC01345	188.2	189.2
LINC02780	189.2	190.2
AL805961.1	190.2	191.2
EEF1DP6	191.2	192.2
LINC01777	192.2	193.2
AL355602.1	193.2	194.2
Z98747.1	194.2	195.2
LINC01646	195.2	196.2
AJAP1	196.2	197.2
BX005132.1	197.2	198.2
LINC02781	198.2	199.2
LINC02782	199.2	200.2
AL139823.1	200.2	201.2
Z98259.3	201.2	202.2
Z98259.2	202.2	203.2
Z98259.1	203.2	204.2
Z97988.2	204.2	205.2
AL365255.1	205.2	206.2
NPHP4	206.2	207.2
KCNAB2	207.2	208.2
CHD5	208.2	209.2
AL031847.1	209.2	210.2
RPL22	210.2	211.2
RNF207-AS1	211.2	212.2
RNF207	212.2	213.2
ICMT	213.2	214.2
LINC00337	214.2	215.2
HES3	215.2	216.2
GPR153	216.2	217.2
ACOT7	217.2	218.2
AL031848.2	218.2	219.2
HES2	219.2	220.2
ESPN	220.2	221.2
AL031848.1	221.2	222.2
TNFRSF25	222.2	223.2
PLEKHG5	223.2	224.2
NOL9	224.2	225.2
AL591866.1	225.2	226.2
TAS1R1	226.2	227.2
ZBTB48	227.2	228.2
KLHL21	228.2	229.2
PHF13	229.2	230.2
THAP3	230.2	231.2
DNAJC11	231.2	232.2
LINC01672	232.2	233.2
AL591163.1	233.2	234.2
CAMTA1-DT	234.2	235.2
CAMTA1	235.2	236.2
AL590128.1	236.2	237.2
AL512330.1	237.2	238.2
CAMTA1-IT1	238.2	239.2
CAMTA1-AS2	239.2	240.2
CAMTA1-AS1	240.2	241.2
AL359881.3	241.2	242.2
AL359881.2	242.2	243.2
AL359881.1	243.2	244.2
VAMP3	244.2	245.2
Z98884.2	245.2	246.2
PER3	246.2	247.2
Z98884.1	247.2	248.2
UTS2	248.2	249.2
TNFRSF9	249.2	250.2
AL009183.1	250.2	251.2
PARK7	251.2	252.2
AL034417.4	252.2	253.2
AL034417.3	253.2	254.2
ERRFI1	254.2	255.2
AL034417.2	255.2	256.2
AL034417.1	256.2	257.2
AL358876.1	257.2	258.2
LINC01714	258.2	259.2
AL358876.2	259.2	260.2
SLC45A1	260.2	261.2
RERE	261.2	262.2
RERE-AS1	262.2	263.2
AL096855.2	263.2	264.2
RPL7P11	264.2	265.2
RPL7P7	265.2	266.2
AL357552.1	266.2	267.2
AL357552.2	267.2	268.2
RPL23AP19	268.2	269.2
ENO1	269.2	270.2
ENO1-AS1	270.2	271.2
HMGN2P17	271.2	272.2
AL139415.1	272.2	273.2
AL139415.2	273.2	274.2
CA6	274.2	275.2
SLC2A7	275.2	276.2
SLC2A5	276.2	277.2
GPR157	277.2	278.2
MIR34AHG	278.2	279.2
LNCTAM34A	279.2	280.2
H6PD	280.2	281.2
SPSB1	281.2	282.2
BX323043.1	282.2	283.2
LINC02606	283.2	284.2
AL928921.1	284.2	285.2
SLC25A33	285.2	286.2
AL954705.1	286.2	287.2
TMEM201	287.2	288.2
PIK3CD	288.2	289.2
PIK3CD-AS1	289.2	290.2
AL691449.1	290.2	291.2
PIK3CD-AS2	291.2	292.2
CLSTN1	292.2	293.2
MZT1P1	293.2	294.2
AL357140.3	294.2	295.2
CTNNBIP1	295.2	296.2
AL357140.1	296.2	297.2
AL357140.4	297.2	298.2
LZIC	298.2	299.2
AL357140.2	299.2	300.2
NMNAT1	300.2	301.2
TMEM274P	301.2	302.2
AL603962.1	302.2	303.2
RBP7	303.2	304.2
UBE4B	304.2	305.2
AL590639.1	305.2	306.2
PGAM1P11	306.2	307.2
KIF1B	307.2	308.2
AL139424.3	308.2	309.2
AL139424.2	309.2	310.2
PGD	310.2	311.2
AL139424.1	311.2	312.2
CENPS-CORT	312.2	313.2
CENPS	313.2	314.2
CORT	314.2	315.2
DFFA	315.2	316.2
AL354956.1	316.2	317.2
PEX14	317.2	318.2
CASZ1	318.2	319.2
AL139423.1	319.2	320.2
HSPE1P24	320.2	321.2
C1orf127	321.2	322.2
CFL1P6	322.2	323.2
TARDBP	323.2	324.2
AL109811.3	324.2	325.2
MASP2	325.2	326.2
AL109811.2	326.2	327.2
SRM	327.2	328.2
EXOSC10	328.2	329.2
AL109811.1	329.2	330.2
EXOSC10-AS1	330.2	331.2
MTOR	331.2	332.2
MTOR-AS1	332.2	333.2
ANGPTL7	333.2	334.2
RPL39P6	334.2	335.2
UBIAD1	335.2	336.2
UBE2V2P3	336.2	337.2
AL031291.1	337.2	338.2
MTCYBP45	338.2	339.2
DISP3	339.2	340.2
AL590989.1	340.2	341.2
AL031731.1	341.2	342.2
FBXO2	342.2	343.2
FBXO44	343.2	344.2
FBXO6	344.2	345.2
MAD2L2	345.2	346.2
DRAXIN	346.2	347.2
AGTRAP	347.2	348.2
C1orf167	348.2	349.2
C1orf167-AS1	349.2	350.2
MTHFR	350.2	351.2
CLCN6	351.2	352.2
NPPA	352.2	353.2
NPPB	353.2	354.2
SBF1P2	354.2	355.2
AL021155.4	355.2	356.2
KIAA2013	356.2	357.2
PLOD1	357.2	358.2
MFN2	358.2	359.2
AL096840.1	359.2	360.2
MIIP	360.2	361.2
TNFRSF8	361.2	362.2
RPL23AP89	362.2	363.2
AL357835.1	363.2	364.2
TNFRSF1B	364.2	365.2
RPL10P17	365.2	366.2
VPS13D	366.2	367.2
LINC02766	367.2	368.2
DHRS3	368.2	369.2
AC254633.1	369.2	370.2
AADACL4	370.2	371.2
AC244670.1	371.2	372.2
AADACL3	372.2	373.2
C1orf158	373.2	374.2
PRAMEF12	374.2	375.2
PRAMEF1	375.2	376.2
LINC01784	376.2	377.2
PRAMEF11	377.2	378.2
PRAMEF30P	378.2	379.2
HNRNPCL1	379.2	380.2
PRAMEF2	380.2	381.2
PRAMEF4	381.2	382.2
PRAMEF10	382.2	383.2
PRAMEF7	383.2	384.2
PRAMEF29P	384.2	385.2
PRAMEF6	385.2	386.2
PRAMEF28P	386.2	387.2
PRAMEF27	387.2	388.2
HNRNPCL3	388.2	389.2
PRAMEF25	389.2	390.2
PRAMEF34P	390.2	391.2
PRAMEF35P	391.2	392.2
HNRNPCL2	392.2	393.2
PRAMEF36P	393.2	394.2
AC245056.1	394.2	395.2
PRAMEF26	395.2	396.2
HNRNPCL4	396.2	397.2
PRAMEF9	397.2	398.2
PRAMEF13	398.2	399.2
PRAMEF18	399.2	400.2
PRAMEF31P	400.2	401.2
PRAMEF5	401.2	402.2
PRAMEF32P	402.2	403.2
PRAMEF8	403.2	404.2
PRAMEF33	404.2	405.2
PRAMEF15	405.2	406.2
AC243961.1	406.2	407.2
PRAMEF14	407.2	408.2
PRAMEF19	408.2	409.2
PRAMEF17	409.2	410.2
PRAMEF20	410.2	411.2
LRRC38	411.2	412.2
AL354712.1	412.2	413.2
BRWD1P1	413.2	414.2
PDPN	414.2	415.2
AL359771.1	415.2	416.2
PRDM2	416.2	417.2
KAZN	417.2	418.2
TBCAP2	418.2	419.2
TMEM51-AS1	419.2	420.2
TMEM51	420.2	421.2
C1orf195	421.2	422.2
MFFP1	422.2	423.2
ZBTB2P1	423.2	424.2
FHAD1	424.2	425.2
FHAD1-AS1	425.2	426.2
AL031283.2	426.2	427.2
AL031283.1	427.2	428.2
EFHD2	428.2	429.2
CTRC	429.2	430.2
CELA2A	430.2	431.2
CELA2B	431.2	432.2
CASP9	432.2	433.2
DNAJC16	433.2	434.2
AL121992.3	434.2	435.2
AGMAT	435.2	436.2
AL121992.1	436.2	437.2
CHCHD2P6	437.2	438.2
CD24P1	438.2	439.2
DDI2	439.2	440.2
RSC1A1	440.2	441.2
AL121992.2	441.2	442.2
PLEKHM2	442.2	443.2
AL450998.2	443.2	444.2
SLC25A34	444.2	445.2
SLC25A34-AS1	445.2	446.2
TMEM82	446.2	447.2
FBLIM1	447.2	448.2
RPL12P14	448.2	449.2
UQCRHL	449.2	450.2
AL450998.1	450.2	451.2
FLJ37453	451.2	452.2
SPEN	452.2	453.2
AL034555.1	453.2	454.2
ZBTB17	454.2	455.2
AL355994.4	455.2	456.2
AL355994.1	456.2	457.2
AL355994.5	457.2	458.2
TBC1D3P6	458.2	459.2
SRARP	459.2	460.2
AL355994.3	460.2	461.2
HSPB7	461.2	462.2
CLCNKA	462.2	463.2
AL355994.2	463.2	464.2
CLCNKB	464.2	465.2
FAM131C	465.2	466.2
EPHA2	466.2	467.2
AL451042.2	467.2	468.2
AL451042.1	468.2	469.2
ARHGEF19-AS1	469.2	470.2
ARHGEF19	470.2	471.2
ANO7L1	471.2	472.2
AL109627.1	472.2	473.2
CPLANE2	473.2	474.2
MT1XP1	474.2	475.2
FBXO42	475.2	476.2
SZRD1	476.2	477.2
RPL22P3	477.2	478.2
SPATA21	478.2	479.2
NECAP2	479.2	480.2
LINC01772	480.2	481.2
CROCCP3	481.2	482.2
AL137802.2	482.2	483.2
AL137802.3	483.2	484.2
AL137802.1	484.2	485.2
LINC01783	485.2	486.2
AL355149.1	486.2	487.2
NBPF1	487.2	488.2
AL137798.1	488.2	489.2
CROCCP2	489.2	490.2
AL137798.3	490.2	491.2
MST1P2	491.2	492.2
AL137798.2	492.2	493.2
AL021920.2	493.2	494.2
EIF1AXP1	494.2	495.2
ESPNP	495.2	496.2
AL021920.1	496.2	497.2
AL021920.3	497.2	498.2
CROCC	498.2	499.2
CROCCP4	499.2	500.2
MST1L	500.2	501.2
BX284668.1	501.2	502.2
BX284668.3	502.2	503.2
BX284668.2	503.2	504.2
BX284668.5	504.2	505.2
BX284668.4	505.2	506.2
BX284668.6	506.2	507.2
MFAP2	507.2	508.2
AL049569.1	508.2	509.2
ATP13A2	509.2	510.2
AL049569.3	510.2	511.2
SDHB	511.2	512.2
PADI2	512.2	513.2
LINC02783	513.2	514.2
AL590644.2	514.2	515.2
PADI1	515.2	516.2
PADI3	516.2	517.2
PADI4	517.2	518.2
PADI6	518.2	519.2
RCC2	519.2	520.2
RCC2-AS1	520.2	521.2
ARHGEF10L	521.2	522.2
LINC02810	522.2	523.2
ACTL8	523.2	524.2
AL357509.1	524.2	525.2
LINC01654	525.2	526.2
IGSF21	526.2	527.2
AL365209.1	527.2	528.2
IGSF21-AS1	528.2	529.2
AL591896.1	529.2	530.2
KLHDC7A	530.2	531.2
DYNLL1P3	531.2	532.2
AL031737.1	532.2	533.2
PAX7	533.2	534.2
TAS1R2	534.2	535.2
ALDH4A1	535.2	536.2
IFFO2	536.2	537.2
AL137127.1	537.2	538.2
UBR4	538.2	539.2
EMC1-AS1	539.2	540.2
EMC1	540.2	541.2
MRTO4	541.2	542.2
AL035413.2	542.2	543.2
AKR7L	543.2	544.2
AKR7A3	544.2	545.2
AL035413.1	545.2	546.2
AKR7A2	546.2	547.2
SLC66A1	547.2	548.2
CAPZB	548.2	549.2
MICOS10	549.2	550.2
AL031727.2	550.2	551.2
NBL1	551.2	552.2
MICOS10-NBL1	552.2	553.2
AL031727.1	553.2	554.2
HTR6	554.2	555.2
TMCO4	555.2	556.2
RNF186	556.2	557.2
AL391883.1	557.2	558.2
OTUD3	558.2	559.2
PLA2G2E	559.2	560.2
PLA2G2A	560.2	561.2
PLA2G5	561.2	562.2
PLA2G2D	562.2	563.2
PLA2G2F	563.2	564.2
Z98257.1	564.2	565.2
PLA2G2C	565.2	566.2
UBXN10	566.2	567.2
LINC01757	567.2	568.2
Z98257.2	568.2	569.2
VWA5B1	569.2	570.2
AL020998.1	570.2	571.2
LINC01141	571.2	572.2
AL139254.1	572.2	573.2
AL139254.2	573.2	574.2
AL139254.3	574.2	575.2
CAMK2N1	575.2	576.2
MUL1	576.2	577.2
RPS4XP4	577.2	578.2
FAM43B	578.2	579.2
CDA	579.2	580.2
PINK1	580.2	581.2
PINK1-AS	581.2	582.2
DDOST	582.2	583.2
KIF17	583.2	584.2
AL663074.2	584.2	585.2
SH2D5	585.2	586.2
AL663074.1	586.2	587.2
HP1BP3	587.2	588.2
EIF4G3	588.2	589.2
RPS15AP6	589.2	590.2
AL627311.1	590.2	591.2
HSPE1P27	591.2	592.2
ECE1	592.2	593.2
AL031005.1	593.2	594.2
ECE1-AS1	594.2	595.2
PPP1R11P1	595.2	596.2
AL592309.1	596.2	597.2
AL592309.2	597.2	598.2
NBPF2P	598.2	599.2
HS6ST1P1	599.2	600.2
CROCCP5	600.2	601.2
NBPF3	601.2	602.2
PFN1P10	602.2	603.2
ALPL	603.2	604.2
LINC02596	604.2	605.2
RAP1GAP	605.2	606.2
USP48	606.2	607.2
AL590103.1	607.2	608.2
LDLRAD2	608.2	609.2
HSPG2	609.2	610.2
AL590556.1	610.2	611.2
AL590556.2	611.2	612.2
CELA3B	612.2	613.2
AL590556.3	613.2	614.2
CELA3A	614.2	615.2
LINC01635	615.2	616.2
LINC00339	616.2	617.2
CDC42	617.2	618.2
CDC42-AS1	618.2	619.2
AL031281.1	619.2	620.2
CDC42-IT1	620.2	621.2
MPHOSPH6P1	621.2	622.2
WNT4	622.2	623.2
AL445253.1	623.2	624.2
PPIAP34	624.2	625.2
AL591122.1	625.2	626.2
ZBTB40	626.2	627.2
ZBTB40-IT1	627.2	628.2
EPHA8	628.2	629.2
C1QA	629.2	630.2
C1QC	630.2	631.2
C1QB	631.2	632.2
EPHB2	632.2	633.2
AL512444.1	633.2	634.2
LACTBL1	634.2	635.2
TEX46	635.2	636.2
KDM1A	636.2	637.2
AL031428.1	637.2	638.2
LUZP1	638.2	639.2
AL161672.1	639.2	640.2
HTR1D	640.2	641.2
AL109936.1	641.2	642.2
LINC01355	642.2	643.2
AL109936.9	643.2	644.2
HNRNPR	644.2	645.2
ZNF436	645.2	646.2
ZNF436-AS1	646.2	647.2
AL109936.2	647.2	648.2
TCEA3	648.2	649.2
AL357134.1	649.2	650.2
ASAP3	650.2	651.2
E2F2	651.2	652.2
AL021154.1	652.2	653.2
ID3	653.2	654.2
AL450043.1	654.2	655.2
MDS2	655.2	656.2
AL451000.1	656.2	657.2
RPL11	657.2	658.2
ELOA-AS1	658.2	659.2
ELOA	659.2	660.2
PITHD1	660.2	661.2
LYPLA2	661.2	662.2
GALE	662.2	663.2
HMGCL	663.2	664.2
FUCA1	664.2	665.2
CNR2	665.2	666.2
BTBD6P1	666.2	667.2
AL590609.2	667.2	668.2
H3P1	668.2	669.2
PNRC2	669.2	670.2
SRSF10	670.2	671.2
AL590609.1	671.2	672.2
AL591178.1	672.2	673.2
MYOM3	673.2	674.2
MYOM3-AS1	674.2	675.2
IL22RA1	675.2	676.2
IFNLR1	676.2	677.2
LINC02800	677.2	678.2
GRHL3-AS1	678.2	679.2
GRHL3	679.2	680.2
STPG1	680.2	681.2
NIPAL3	681.2	682.2
RCAN3AS	682.2	683.2
RCAN3	683.2	684.2
NCMAP-DT	684.2	685.2
NCMAP	685.2	686.2
AL445686.1	686.2	687.2
SRRM1	687.2	688.2
AL445648.1	688.2	689.2
CLIC4	689.2	690.2
RUNX3	690.2	691.2
RUNX3-AS1	691.2	692.2
AL445471.1	692.2	693.2
LINC02793	693.2	694.2
AL050344.1	694.2	695.2
IFITM3P7	695.2	696.2
AL031432.1	696.2	697.2
SYF2	697.2	698.2
AL031432.4	698.2	699.2
AL031432.5	699.2	700.2
RSRP1	700.2	701.2
AL031432.3	701.2	702.2
AL031432.2	702.2	703.2
RHD	703.2	704.2
SDHDP6	704.2	705.2
AL928711.1	705.2	706.2
TMEM50A	706.2	707.2
RHCE	707.2	708.2
AL031284.1	708.2	709.2
MACO1	709.2	710.2
LDLRAP1	710.2	711.2
AL606491.1	711.2	712.2
MAN1C1	712.2	713.2
AL031280.1	713.2	714.2
SELENON	714.2	715.2
AL020996.2	715.2	716.2
AL020996.1	716.2	717.2
MTFR1L	717.2	718.2
AL020996.3	718.2	719.2
AUNIP	719.2	720.2
AL033528.2	720.2	721.2
PAQR7	721.2	722.2
STMN1	722.2	723.2
SNRPFP2	723.2	724.2
AL033528.1	724.2	725.2
PAFAH2	725.2	726.2
EXTL1	726.2	727.2
SLC30A2	727.2	728.2
AL391650.2	728.2	729.2
TRIM63	729.2	730.2
PDIK1L	730.2	731.2
FAM110D	731.2	732.2
C1orf232	732.2	733.2
AL391650.1	733.2	734.2
ZNF593	734.2	735.2
CNKSR1	735.2	736.2
CATSPER4	736.2	737.2
ZPLD2P	737.2	738.2
AL355877.2	738.2	739.2
CEP85	739.2	740.2
AL355877.1	740.2	741.2
SH3BGRL3	741.2	742.2
UBXN11	742.2	743.2
CD52	743.2	744.2
CRYBG2	744.2	745.2
AL451139.1	745.2	746.2
ZNF683	746.2	747.2
LIN28A	747.2	748.2
DHDDS	748.2	749.2
AL513365.1	749.2	750.2
DHDDS-AS1	750.2	751.2
HMGN2	751.2	752.2
DPPA2P2	752.2	753.2
RPS6KA1	753.2	754.2
AL627313.1	754.2	755.2
AL627082.1	755.2	756.2
AL512408.1	756.2	757.2
ARID1A	757.2	758.2
PIGV	758.2	759.2
AL034380.2	759.2	760.2
ZDHHC18	760.2	761.2
SFN	761.2	762.2
GPN2	762.2	763.2
AL034380.1	763.2	764.2
GPATCH3	764.2	765.2
NUDC	765.2	766.2
NR0B2	766.2	767.2
KDF1	767.2	768.2
RPL12P13	768.2	769.2
AL356390.1	769.2	770.2
OSTCP2	770.2	771.2
TRNP1	771.2	772.2
TENT5B	772.2	773.2
SLC9A1	773.2	774.2
AL590640.2	774.2	775.2
CHCHD3P3	775.2	776.2
NPM1P39	776.2	777.2
SNRPEP7	777.2	778.2
AL590640.1	778.2	779.2
WDTC1	779.2	780.2
FO393419.3	780.2	781.2
TMEM222	781.2	782.2
ACTG1P20	782.2	783.2
SYTL1	783.2	784.2
MAP3K6	784.2	785.2
FCN3	785.2	786.2
CD164L2	786.2	787.2
FO393419.1	787.2	788.2
GPR3	788.2	789.2
WASF2	789.2	790.2
FO393419.2	790.2	791.2
BX293535.1	791.2	792.2
AHDC1	792.2	793.2
FGR	793.2	794.2
AL031729.1	794.2	795.2
LINC02574	795.2	796.2
IFI6	796.2	797.2
AL445490.1	797.2	798.2
CHMP1AP1	798.2	799.2
FAM76A	799.2	800.2
AL020997.1	800.2	801.2
RPEP3	801.2	802.2
STX12	802.2	803.2
AL020997.2	803.2	804.2
AL020997.3	804.2	805.2
PPP1R8	805.2	806.2
THEMIS2	806.2	807.2
RPA2	807.2	808.2
SMPDL3B	808.2	809.2
AL512288.1	809.2	810.2
XKR8	810.2	811.2
EYA3	811.2	812.2
AL512288.2	812.2	813.2
SPCS2P4	813.2	814.2
AL137792.2	814.2	815.2
AL137792.1	815.2	816.2
PTAFR	816.2	817.2
DNAJC8	817.2	818.2
ATP5IF1	818.2	819.2
AL353622.1	819.2	820.2
AL353622.2	820.2	821.2
SESN2	821.2	822.2
MED18	822.2	823.2
PHACTR4	823.2	824.2
CR391992.1	824.2	825.2
RCC1	825.2	826.2
SNHG3	826.2	827.2
PRDX3P2	827.2	828.2
AL513497.1	828.2	829.2
TRNAU1AP	829.2	830.2
SNHG12	830.2	831.2
TAF12	831.2	832.2
RAB42	832.2	833.2
LINC01715	833.2	834.2
AL360012.1	834.2	835.2
GMEB1	835.2	836.2
YTHDF2	836.2	837.2
OPRD1	837.2	838.2
AL009181.1	838.2	839.2
EPB41	839.2	840.2
AL138785.1	840.2	841.2
TMEM200B	841.2	842.2
AL357500.1	842.2	843.2
SRSF4	843.2	844.2
MECR	844.2	845.2
AL590729.1	845.2	846.2
PTPRU	846.2	847.2
LINC01756	847.2	848.2
AL671862.1	848.2	849.2
AC092265.1	849.2	850.2
AL645944.2	850.2	851.2
AL645944.1	851.2	852.2
LINC01648	852.2	853.2
AL137076.1	853.2	854.2
AL021921.1	854.2	855.2
AL161638.2	855.2	856.2
AL161638.1	856.2	857.2
MATN1	857.2	858.2
MATN1-AS1	858.2	859.2
LAPTM5	859.2	860.2
AL137027.1	860.2	861.2
LINC01778	861.2	862.2
AL445235.1	862.2	863.2
SDC3	863.2	864.2
PUM1	864.2	865.2
AL356320.2	865.2	866.2
AL356320.1	866.2	867.2
SELENOWP1	867.2	868.2
AC114495.1	868.2	869.2
NKAIN1	869.2	870.2
SNRNP40	870.2	871.2
AC114495.2	871.2	872.2
ZCCHC17	872.2	873.2
AL451070.1	873.2	874.2
FABP3	874.2	875.2
SERINC2	875.2	876.2
AC209007.1	876.2	877.2
LDC1P	877.2	878.2
LINC01226	878.2	879.2
AC114488.1	879.2	880.2
TINAGL1	880.2	881.2
HCRTR1	881.2	882.2
PEF1	882.2	883.2
PEF1-AS1	883.2	884.2
AC114488.2	884.2	885.2
COL16A1	885.2	886.2
ADGRB2	886.2	887.2
AL354919.2	887.2	888.2
SPOCD1	888.2	889.2
AL354919.1	889.2	890.2
AL136115.2	890.2	891.2
PTP4A2	891.2	892.2
AL136115.1	892.2	893.2
AL136115.3	893.2	894.2
KHDRBS1	894.2	895.2
AL445248.1	895.2	896.2
TMEM39B	896.2	897.2
KPNA6	897.2	898.2
AL049795.2	898.2	899.2
TXLNA	899.2	900.2
CCDC28B	900.2	901.2
AL049795.1	901.2	902.2
IQCC	902.2	903.2
DCDC2B	903.2	904.2
TMEM234	904.2	905.2
EIF3I	905.2	906.2
MTMR9LP	906.2	907.2
FAM167B	907.2	908.2
LCK	908.2	909.2
HDAC1	909.2	910.2
MARCKSL1	910.2	911.2
AL109945.1	911.2	912.2
TSSK3	912.2	913.2
FAM229A	913.2	914.2
BSDC1	914.2	915.2
GAPDHP20	915.2	916.2
AL356986.1	916.2	917.2
LRRC37A12P	917.2	918.2
AL033529.1	918.2	919.2
ZBTB8B	919.2	920.2
ZBTB8A	920.2	921.2
ZBTB8OS	921.2	922.2
RBBP4	922.2	923.2
SYNC	923.2	924.2
AC114489.1	924.2	925.2
KIAA1522	925.2	926.2
YARS1	926.2	927.2
S100PBP	927.2	928.2
FNDC5	928.2	929.2
HPCA	929.2	930.2
TMEM54	930.2	931.2
RNF19B	931.2	932.2
AL031602.1	932.2	933.2
AL355864.1	933.2	934.2
AL355864.2	934.2	935.2
AL020995.1	935.2	936.2
AK2	936.2	937.2
AZIN2	937.2	938.2
AL662907.1	938.2	939.2
TRIM62	939.2	940.2
AL662907.2	940.2	941.2
AL662907.3	941.2	942.2
ZNF362	942.2	943.2
AL513327.2	943.2	944.2
A3GALT2	944.2	945.2
AL513327.1	945.2	946.2
PHC2	946.2	947.2
PHC2-AS1	947.2	948.2
