NAME	X	Y
FoobarAB3_BazMoo_8DDDBBDABDADADDC-1	0.9282	0.4474
FoobarAB2_BazMoo_1DABCCCDCCAADCAB-1	0.5263	0.4288
FoobarAB4_BazMoo_5AADBCCDBCAACADA-1	0.6797	0.3919
FoobarAB5_BazMoo_7DCDCABBAABBDCDA-1	0.5883	0.5482
FoobarAB2_BazMoo_5DBBCCDBABABBCCB-1	0.2161	0.1596
FoobarAB5_BazMoo_5CDBBDDCDCBDDDDB-1	0.8338	0.3025
FoobarAB5_BazMoo_2DADCDABBCDCCCAD-1	0.7795	0.2609
FoobarAB6_BazMoo_7DCDCAAADDDCCAAB-1	0.5551	0.6672
FoobarAB5_BazMoo_1ABBDBDCBBDADDCA-1	0.541	0.799
FoobarAB8_BazMoo_2ABACDBABDCBCDBC-1	0.7736	0.0206
FoobarAB6_BazMoo_7CCAAACCAAAADAAB-1	0.7623	0.0442
FoobarAB3_BazMoo_7ADDDDBDCDACABCD-1	0.8849	0.6391
FoobarAB2_BazMoo_2CBADCACBBACBABC-1	0.1558	0.3329
FoobarAB4_BazMoo_1CCDCBBCBBAADABB-1	0.5974	0.0291
FoobarAB4_BazMoo_3DCBADAADDBBBAAC-1	0.7509	0.106
FoobarAB7_BazMoo_3CCCCAABBCCBCABC-1	0.6352	0.1345
FoobarAB1_BazMoo_4BCBCDDACDDADCCB-1	0.2298	0.4213
FoobarAB1_BazMoo_1DDABDCBBAACADBB-1	0.1492	0.0301
FoobarAB2_BazMoo_6CBABDDBCCCBDDBC-1	0.171	0.8005
FoobarAB1_BazMoo_6BBADAACABABBAAD-1	0.8012	0.7925
FoobarAB4_BazMoo_5DCDAACCADAACDDB-1	0.0838	0.413
FoobarAB2_BazMoo_5DABAAADACAADCBC-1	0.0128	0.5647
FoobarAB5_BazMoo_8AACABBBCABABDDC-1	0.4008	0.5951
FoobarAB6_BazMoo_3ABDACABCBDBCDCA-1	0.8839	0.3043
FoobarAB6_BazMoo_5ADCABCBAACBCCAD-1	0.6576	0.2093
FoobarAB6_BazMoo_1CCCDABBCBABCAAB-1	0.3308	0.8667
FoobarAB5_BazMoo_4AACADADCBABADDC-1	0.1577	0.0227
FoobarAB4_BazMoo_8ACDCCDCDADCDCDD-1	0.6501	0.0825
FoobarAB3_BazMoo_4DBBADDCBDCABBBC-1	0.7413	0.4334
FoobarAB3_BazMoo_1CDBCCADCBADADCC-1	0.2243	0.8751
FoobarAB7_BazMoo_2DDABDCCDACCDBDA-1	0.7061	0.1495
FoobarAB4_BazMoo_6CBCCBDDDCACADCA-1	0.2494	0.6153
FoobarAB8_BazMoo_4BCBCBDDBCABDDCB-1	0.6505	0.4132
FoobarAB8_BazMoo_3CBCABBBBCBDCBCA-1	0.605	0.0709
FoobarAB2_BazMoo_7ADABBAABBCBDADB-1	0.3949	0.5555
FoobarAB3_BazMoo_5BCDBCDBDCCBDBCC-1	0.5862	0.4392
FoobarAB8_BazMoo_3DCDAACBBBDDABDB-1	0.4479	0.7957
FoobarAB3_BazMoo_4DCBBCBAADBDDADA-1	0.454	0.6391
FoobarAB8_BazMoo_4CABCBBAACADBABD-1	0.0128	0.7396
FoobarAB4_BazMoo_8AACBCDDCCABCABB-1	0.0635	0.2497
FoobarAB2_BazMoo_5CCABBAABAAABBAD-1	0.2491	0.7185
FoobarAB6_BazMoo_5DBBDACBBDDBBBAD-1	0.2737	0.5781
FoobarAB3_BazMoo_1BBCCBABDADAADBB-1	0.4244	0.3223
FoobarAB3_BazMoo_2CADABCCBBBDCDAB-1	0.3516	0.4841
FoobarAB1_BazMoo_7CCDDDBCACDBDADB-1	0.9204	0.2587
FoobarAB3_BazMoo_2DBAACDCABCBCBCB-1	0.0181	0.3521
FoobarAB5_BazMoo_8CAADBCCDACDCCBD-1	0.5714	0.023
FoobarAB6_BazMoo_6CBCCBADCDBACCDB-1	0.3499	0.6095
FoobarAB3_BazMoo_5DCDCDACDDDAAACB-1	0.5706	0.5834
FoobarAB1_BazMoo_4AAABCACBDABABCB-1	0.1225	0.7047
FoobarAB4_BazMoo_2ADCDBCBABCDDABD-1	0.8149	0.0551
FoobarAB3_BazMoo_4ADDCABCACDDDABA-1	0.259	0.5995
FoobarAB4_BazMoo_6CBDCBBABCBCCACC-1	0.2008	0.5097
FoobarAB5_BazMoo_6DBCBABDBDCCBDBB-1	0.5273	0.2218
FoobarAB8_BazMoo_7DBDBDBBADBACDCA-1	0.2577	0.9693
FoobarAB1_BazMoo_4DAACDADCBACDBBC-1	0.7775	0.4792
FoobarAB1_BazMoo_1BDBDCBDBBADDDBD-1	0.454	0.2031
FoobarAB4_BazMoo_1CADDACABDBDDCBB-1	0.6265	0.8365
FoobarAB7_BazMoo_3CBCACDCCDBADBDD-1	0.7773	0.797
FoobarAB8_BazMoo_6BDCDCDBABABDBDA-1	0.9105	0.9897
FoobarAB1_BazMoo_1ABCDBAACAABBADA-1	0.4095	0.6486
FoobarAB7_BazMoo_1BABDCCBADDDAACA-1	0.2118	0.1894
FoobarAB1_BazMoo_4CAABBAABACCBCDB-1	0.3986	0.599
FoobarAB3_BazMoo_5CADBBABBBADCBAA-1	0.7314	0.3985
FoobarAB2_BazMoo_1DADBBCDDCCDDBAA-1	0.8869	0.3919
FoobarAB8_BazMoo_4DBBACAABDDCDDCB-1	0.9523	0.9012
FoobarAB2_BazMoo_3BCACADAABCACBAA-1	0.1228	0.1414
FoobarAB7_BazMoo_7AACCBBDDAACAACD-1	0.6718	0.152
FoobarAB6_BazMoo_6CBADBBACBCDAAAD-1	0.2918	0.2523
FoobarAB2_BazMoo_1DCCBCCBADAABBBC-1	0.9264	0.0375
FoobarAB1_BazMoo_8ACABBBBBCDBDDAB-1	0.8866	0.1888
FoobarAB2_BazMoo_4BCCBCBBCBBBDBCD-1	0.659	0.8285
FoobarAB1_BazMoo_7ABCDBADDBBCDBAB-1	0.0865	0.1592
FoobarAB3_BazMoo_3BBDDCAACDDDDCCD-1	0.8818	0.9816
FoobarAB3_BazMoo_3BACBDCDBABBCCBB-1	0.7999	0.7786
FoobarAB8_BazMoo_8CBBBCBBDDCCCAAB-1	0.5719	0.5309
FoobarAB4_BazMoo_5DBADCCDBCDCACBD-1	0.7354	0.4693
FoobarAB7_BazMoo_3DBBBBDDABCBAACA-1	0.1092	0.8608
FoobarAB7_BazMoo_6BBCACAADCDBCADD-1	0.2574	0.6513
FoobarAB2_BazMoo_3BCCBABDDBDCBADB-1	0.4829	0.0038
FoobarAB2_BazMoo_1ADDDDDBDBBCBABB-1	0.2999	0.9718
FoobarAB6_BazMoo_6AADABCCBBCBCCAD-1	0.3757	0.5211
FoobarAB8_BazMoo_7ADDBBCDACCAADCB-1	0.3749	0.7026
FoobarAB3_BazMoo_7CBBDCBCABBBABAD-1	0.4204	0.8312
FoobarAB1_BazMoo_3BDABBAACDABADBC-1	0.0659	0.9963
FoobarAB6_BazMoo_6CBBDBCDBBDBBBDB-1	0.6748	0.9332
FoobarAB8_BazMoo_6DDACDCACCCDDBBC-1	0.361	0.4568
FoobarAB5_BazMoo_5ACADACACBDCBCDA-1	0.9629	0.3218
FoobarAB4_BazMoo_6DAADCDCBCDACACA-1	0.7622	0.5858
FoobarAB2_BazMoo_1BCDBBADCCCADADA-1	0.6323	0.2605
FoobarAB4_BazMoo_8ACCDBDCDACCCACB-1	0.4638	0.447
FoobarAB6_BazMoo_5CBDBCADBCACCBAD-1	0.4429	0.5958
FoobarAB4_BazMoo_7DCACCDBABADDAAA-1	0.8636	0.2109
FoobarAB2_BazMoo_4DAADACBADADACCC-1	0.9666	0.1649
FoobarAB4_BazMoo_5AADCAACDDADBADB-1	0.0039	0.3746
FoobarAB8_BazMoo_3CDAADACABCCBBBC-1	0.9669	0.7258
FoobarAB7_BazMoo_6CAADADBBCBCBDBC-1	0.287	0.965
FoobarAB1_BazMoo_3BCBBACABBACDDAA-1	0.34	0.3116
FoobarAB1_BazMoo_7ABCDADCDBADDCAC-1	0.67	0.7543
FoobarAB2_BazMoo_1AAABCCACAABCCAD-1	0.1193	0.4512
FoobarAB8_BazMoo_2BBCCCADDDACBCBB-1	0.8035	0.2684
FoobarAB5_BazMoo_3BBBAACBBADAAABD-1	0.217	0.8148
FoobarAB4_BazMoo_5BDBDDADCDADADDC-1	0.4176	0.1927
FoobarAB4_BazMoo_5ACBBACBCCACADAB-1	0.7114	0.553
FoobarAB6_BazMoo_6DCDDACBADDBCBAC-1	0.0209	0.6467
FoobarAB3_BazMoo_5AACBCDABBACBBCC-1	0.9986	0.5578
FoobarAB7_BazMoo_7BCCBCDCCCDBDAAD-1	0.1107	0.026
FoobarAB4_BazMoo_1CDACDCACBCBCADB-1	0.33	0.9126
FoobarAB4_BazMoo_3BADCBCABABBABDD-1	0.696	0.3537
FoobarAB1_BazMoo_3CBDBCADBCCCBDDA-1	0.3709	0.9669
FoobarAB2_BazMoo_5AACDDDCBACDBDDA-1	0.3908	0.3082
FoobarAB5_BazMoo_8CCDCCBBDDDADDCC-1	0.4171	0.768
FoobarAB6_BazMoo_6DCCBDDBADBBABAC-1	0.0508	0.3388
FoobarAB4_BazMoo_7CADBDACBBBBDBCD-1	0.1533	0.2544
FoobarAB1_BazMoo_6ADBCBABADBDBACD-1	0.4847	0.58
FoobarAB6_BazMoo_5ADCADDDBCACCDCD-1	0.8243	0.1256
FoobarAB1_BazMoo_2ADBBCCDCDCCBCCA-1	0.1481	0.9435
FoobarAB7_BazMoo_4DADADDCAAAADADA-1	0.2572	0.2006
FoobarAB3_BazMoo_5ACAABCCCADBDDBA-1	0.2065	0.3467
FoobarAB7_BazMoo_7DBCCCCDACBCCDDA-1	0.2899	0.9704
FoobarAB4_BazMoo_8BDBAACDBCDADCAC-1	0.4243	0.5351
FoobarAB5_BazMoo_8DABDCACBCDBBDAD-1	0.4338	0.1385
FoobarAB5_BazMoo_2BCCABCDAAABABBD-1	0.8891	0.3
FoobarAB8_BazMoo_3DCCBDBCBBCDADCC-1	0.5844	0.9565
FoobarAB7_BazMoo_7ACDCBDBDABBBCCA-1	0.8964	0.3495
FoobarAB6_BazMoo_7BAACBCABABCAACB-1	0.6173	0.6895
FoobarAB7_BazMoo_8CDDACDAABACCDDB-1	0.2106	0.3603
FoobarAB1_BazMoo_3BADCACCBDBCDABD-1	0.5499	0.2079
FoobarAB8_BazMoo_3DBDDDDCAAAABCAB-1	0.79	0.3132
FoobarAB2_BazMoo_5BDADCBDACCDABAC-1	0.0286	0.6843
FoobarAB5_BazMoo_6DCBCDAAADDBCAAD-1	0.8978	0.2993
FoobarAB7_BazMoo_4CBBDDBBCCCCCCAA-1	0.9978	0.3945
FoobarAB5_BazMoo_6AAAACCCABCDADAD-1	0.8374	0.3241
FoobarAB2_BazMoo_8ACABDBCABBABACD-1	0.1811	0.3209
FoobarAB4_BazMoo_5CDCCBABDCCBCDDC-1	0.4958	0.8137
FoobarAB8_BazMoo_8CBDDBDCBDCDBADB-1	0.9157	0.5858
FoobarAB1_BazMoo_6ABBBDCAACABCBDB-1	0.9375	0.5483
FoobarAB1_BazMoo_2CDCBAAADBDABDBC-1	0.8724	0.3861
FoobarAB1_BazMoo_7CBAACADCAABBDBB-1	0.3907	0.5462
FoobarAB6_BazMoo_8BCCABCBCDACABBD-1	0.7327	0.3349
FoobarAB5_BazMoo_1DDABCABCCADDDAA-1	0.7975	0.72
FoobarAB7_BazMoo_7CCCBAABADBACAAD-1	0.7193	0.2837
FoobarAB4_BazMoo_3AAAADBAAAABCCDC-1	0.4275	0.9624
FoobarAB5_BazMoo_3BBBDBCCBBACDAAB-1	0.3892	0.7701
FoobarAB8_BazMoo_6ACDACDBBDAADCBD-1	0.5486	0.3963
FoobarAB5_BazMoo_7BDBBAADBCDBDDAB-1	0.5425	0.1775
FoobarAB5_BazMoo_4CACBBACABDAAACB-1	0.3378	0.8842
FoobarAB2_BazMoo_8DBBACDDDABCCADB-1	0.5337	0.4741
FoobarAB1_BazMoo_2DBCAACCADDDDDDC-1	0.2159	0.819
FoobarAB8_BazMoo_4BCDBADCDCACCCDA-1	0.072	0.2643
FoobarAB3_BazMoo_8BACDCCCDCCDDCCB-1	0.8702	0.3701
FoobarAB4_BazMoo_4DCCBCCABAAACCBB-1	0.1291	0.8162
FoobarAB1_BazMoo_8CBCDCBBCCAACADD-1	0.8732	0.1586
FoobarAB7_BazMoo_6BBCAADAAACBABDD-1	0.5267	0.8264
FoobarAB8_BazMoo_1CDCBDBCADBBDBDA-1	0.104	0.1932
FoobarAB6_BazMoo_6BAACBBAADCBCCBB-1	0.65	0.0623
FoobarAB5_BazMoo_2CCBBAADABABCBCA-1	0.5809	0.0219
FoobarAB6_BazMoo_4ACDBBDCDDCCCBAC-1	0.0021	0.7879
FoobarAB5_BazMoo_7CABDCDCCCBDBBBD-1	0.8099	0.1507
FoobarAB5_BazMoo_1CADBABCCADABDCC-1	0.6371	0.3566
FoobarAB5_BazMoo_6DCABDAAABADBDBB-1	0.6818	0.2267
FoobarAB2_BazMoo_3BAADDCCDABBBBBC-1	0.6401	0.0029
FoobarAB8_BazMoo_1ADCCDBCDCBAABAA-1	0.0977	0.9946
FoobarAB5_BazMoo_5ACDDCACAADBBABB-1	0.5457	0.0687
FoobarAB2_BazMoo_7ADBADBABBDBACCC-1	0.1765	0.6183
FoobarAB4_BazMoo_3CBDBCCDCACDBDDD-1	0.4069	0.8806
FoobarAB5_BazMoo_6DCAADBDCBBDAADA-1	0.7122	0.931
FoobarAB8_BazMoo_2DDAABCABDBBACBB-1	0.1224	0.2941
FoobarAB5_BazMoo_7CBDCADCDDAADBCB-1	0.0711	0.9887
FoobarAB6_BazMoo_8CADCDCABCADABCD-1	0.0317	0.1847
FoobarAB1_BazMoo_7ABBDDADDCDADBBC-1	0.508	0.5413
FoobarAB5_BazMoo_2AABCAACAABACCAB-1	0.5993	0.0266
FoobarAB6_BazMoo_7CADDDDCABBCDBAC-1	0.7996	0.9664
FoobarAB4_BazMoo_8DABDADCCCABBDAC-1	0.921	0.376
FoobarAB2_BazMoo_2AADCACCBDDDDDBC-1	0.7911	0.9313
FoobarAB4_BazMoo_8ADBACCCACAACACA-1	0.9613	0.2543
FoobarAB8_BazMoo_7CBBBBDBBCCDBDCC-1	0.4362	0.8547
FoobarAB6_BazMoo_6DDBBCABABCBDDDA-1	0.5771	0.1525
FoobarAB2_BazMoo_1CADBBCBCCBAAABC-1	0.8156	0.4206
FoobarAB8_BazMoo_6CDBCCACDBACDCDA-1	0.0902	0.207
FoobarAB7_BazMoo_4DDCDDDBADDBDCDC-1	0.1153	0.2218
FoobarAB6_BazMoo_5CDDACDDAAABBDAA-1	0.0484	0.2426
FoobarAB8_BazMoo_5DBCDCAAAACDBBAC-1	0.4706	0.7487
FoobarAB5_BazMoo_1CAABCCBBABBBCCD-1	0.8393	0.3118
FoobarAB7_BazMoo_2ACACDADDBDBABBD-1	0.3517	0.6245
FoobarAB2_BazMoo_2DDBBDBBCCCCCCCC-1	0.9243	0.3015
FoobarAB1_BazMoo_4DAABCACACCDCACA-1	0.9177	0.0513
FoobarAB7_BazMoo_6ADDABBDCBABAADA-1	0.0801	0.4304
FoobarAB4_BazMoo_3CCBBCDCAADDDACB-1	0.9189	0.7116
FoobarAB5_BazMoo_1DDABDDAACCBAABB-1	0.7412	0.5734
FoobarAB6_BazMoo_5ACBDBCCACBDBBCD-1	0.4766	0.1766
FoobarAB4_BazMoo_8CBBDBCBCCDBAADC-1	0.6253	0.3498
FoobarAB7_BazMoo_4DDCCAADBACCDBCA-1	0.4919	0.5969
FoobarAB5_BazMoo_5ADDCCBDDCDDADAA-1	0.639	0.4031
FoobarAB4_BazMoo_1AACADAACABBBCCC-1	0.0491	0.3714
FoobarAB2_BazMoo_1DCBDCCACBACBDDA-1	0.0698	0.1272
FoobarAB7_BazMoo_2BCABDBADCAAADAC-1	0.4592	0.7763
FoobarAB7_BazMoo_7BBADABDDADACBCB-1	0.7155	0.7659
FoobarAB3_BazMoo_5BACCCCABBCAACBD-1	0.86	0.4565
FoobarAB8_BazMoo_7CABDABBDBBAAADC-1	0.7985	0.0063
FoobarAB6_BazMoo_5DDCCDBABBBCCADA-1	0.9518	0.1636
FoobarAB5_BazMoo_4ACBABDBABAABDBB-1	0.142	0.7519
FoobarAB4_BazMoo_1BDBDCDCBBABAACC-1	0.8231	0.0315
FoobarAB1_BazMoo_7ABCCACCDACACCDA-1	0.9583	0.343
FoobarAB6_BazMoo_5CBDDDBAABBCBBAC-1	0.0044	0.823
FoobarAB1_BazMoo_2BABDDBBCABBACCA-1	0.3882	0.9734
FoobarAB1_BazMoo_5ABDCDDBDCABBDAD-1	0.4427	0.5771
FoobarAB4_BazMoo_8DDCACCCCCBABDCB-1	0.2465	0.6553
FoobarAB2_BazMoo_4DAADACCCBAACBAC-1	0.0778	0.8943
FoobarAB2_BazMoo_1AAAABABBDCCACDC-1	0.3427	0.94
FoobarAB1_BazMoo_3CCCBCDDADADDCBA-1	0.5505	0.3564
FoobarAB2_BazMoo_5ADCBAADABCABDAB-1	0.2476	0.6452
FoobarAB8_BazMoo_2AAABBABDDBDAAAD-1	0.5916	0.1099
FoobarAB6_BazMoo_7BABBDDCBAAADCAD-1	0.4521	0.8686
FoobarAB2_BazMoo_6DCABCDAAAADBBAD-1	0.2779	0.9777
FoobarAB3_BazMoo_5CCCCCACDACAABBA-1	0.0355	0.0988
FoobarAB8_BazMoo_6ADDCADCDCBDCDDC-1	0.15	0.9688
FoobarAB5_BazMoo_3BABCCDBDAAACACC-1	0.7501	0.6295
FoobarAB6_BazMoo_4CCBABBDCABCCDDB-1	0.0143	0.2447
FoobarAB2_BazMoo_7BDBDBCADDDBBDCB-1	0.1617	0.811
FoobarAB3_BazMoo_3ADDCABDDDBBDBCC-1	0.2117	0.4688
FoobarAB8_BazMoo_1ABACBDDABAACABD-1	0.4094	0.3889
FoobarAB4_BazMoo_4BCBBACDCCBBBACC-1	0.7007	0.3903
FoobarAB7_BazMoo_2BADBDBAADABDBDB-1	0.6686	0.2021
FoobarAB4_BazMoo_2CCACBCBBAABABAA-1	0.6023	0.002
FoobarAB7_BazMoo_6ADBCBDCDCBDADAB-1	0.3538	0.313
FoobarAB7_BazMoo_3AADDBBBBBCBDCBD-1	0.9844	0.2356
FoobarAB1_BazMoo_6BCCBBACADAAABDC-1	0.4046	0.5719
FoobarAB2_BazMoo_2ACDBCACCDBBBCDC-1	0.267	0.5869
FoobarAB3_BazMoo_3BDAADDCCCACCDAA-1	0.7478	0.868
FoobarAB3_BazMoo_7DDACADDCBBBAABB-1	0.8697	0.7181
FoobarAB4_BazMoo_6CADACDCCCAADACC-1	0.572	0.0226
FoobarAB8_BazMoo_8ADBCDCDACBCCBCA-1	0.2134	0.8344
FoobarAB7_BazMoo_3CABBBCBDDBBDDDD-1	0.0817	0.6208
FoobarAB1_BazMoo_6BCBCBDDDAADDDCB-1	0.7114	0.6947
FoobarAB8_BazMoo_7BADBDCDCABDDDAB-1	0.2399	0.8735
FoobarAB6_BazMoo_7CBAAADCAABBCBAC-1	0.7997	0.6599
FoobarAB6_BazMoo_8CACBADDDDCADBBC-1	0.4951	0.0844
FoobarAB8_BazMoo_1ADDBBAAADBDBACA-1	0.4875	0.6773
FoobarAB4_BazMoo_6ADADCDDBBBAACAB-1	0.8063	0.2994
FoobarAB7_BazMoo_5CABBCDCBADCCABB-1	0.1044	0.4037
FoobarAB8_BazMoo_3DCCADDAACCACBAD-1	0.8622	0.631
FoobarAB1_BazMoo_4ABBBDCABAABCCCB-1	0.3689	0.2852
FoobarAB3_BazMoo_2DCDAABBACADAACA-1	0.2475	0.6653
FoobarAB2_BazMoo_8DCABACDCAAADCDB-1	0.8766	0.7732
FoobarAB6_BazMoo_4DCBCCBADDCABDAC-1	0.0381	0.418
FoobarAB7_BazMoo_7ACBBAABABAACCBC-1	0.4629	0.0989
FoobarAB6_BazMoo_6CDBBDADBBCABADA-1	0.9522	0.8008
FoobarAB7_BazMoo_7DBCCDBBBCCCACCD-1	0.7656	0.2662
FoobarAB5_BazMoo_4AAADBBADAADBBCA-1	0.7028	0.8355
FoobarAB7_BazMoo_4BBDDBABCAADDBDA-1	0.1494	0.1007
FoobarAB3_BazMoo_8ABCBDABBDBDCCBC-1	0.878	0.643
FoobarAB5_BazMoo_6BCDBDDBBDDDCAAD-1	0.1701	0.9477
FoobarAB8_BazMoo_3ABDBCDCCBCCBABA-1	0.3514	0.1252
FoobarAB5_BazMoo_8BCCACABBDBDCACA-1	0.7959	0.7831
FoobarAB8_BazMoo_6ACCBBCACACABAAC-1	0.4767	0.2057
FoobarAB7_BazMoo_8DDABDADBACADBDB-1	0.986	0.0846
FoobarAB2_BazMoo_2CDDDBADCDBABBBC-1	0.5293	0.9758
FoobarAB1_BazMoo_3CCCDDDCABBDAABA-1	0.3935	0.0636
FoobarAB4_BazMoo_2DDBADBDACABDCCB-1	0.3839	0.8097
FoobarAB5_BazMoo_1BBABDDADBBDBDAD-1	0.6722	0.2535
FoobarAB2_BazMoo_4BDBDBBCDBDBBCAC-1	0.5383	0.4762
FoobarAB5_BazMoo_3DBACDBADCAADAAC-1	0.1969	0.1119
FoobarAB3_BazMoo_6BCCADBBACDDCCAC-1	0.8067	0.665
FoobarAB8_BazMoo_8DCACDCCACADCCBB-1	0.8279	0.8554
FoobarAB5_BazMoo_6ADADDADDBACACDD-1	0.4824	0.4519
FoobarAB7_BazMoo_1BBBAACABCCAABCB-1	0.9798	0.3774
FoobarAB8_BazMoo_6BDCCCCDDDBCDCCC-1	0.7954	0.8085
FoobarAB6_BazMoo_6DDCDCACBACCCDBD-1	0.7426	0.3621
FoobarAB6_BazMoo_6BBCACAABBDBCADB-1	0.5353	0.277
FoobarAB7_BazMoo_5DDCDBBCCADBCDCA-1	0.3313	0.9549
FoobarAB1_BazMoo_4ACCBBABCBCBACDA-1	0.5139	0.1211
FoobarAB6_BazMoo_6BDBDDBAADBABDAC-1	0.8185	0.5094
FoobarAB6_BazMoo_3ADBACCCDACCAAAB-1	0.8217	0.5687
FoobarAB2_BazMoo_3DCDBCACBBCAABBC-1	0.154	0.6142
FoobarAB2_BazMoo_5DBADBABCDCCCDAC-1	0.7944	0.7141
FoobarAB8_BazMoo_5DBAAADABBBBABCD-1	0.819	0.9971
FoobarAB5_BazMoo_2AAAABABAABCADDD-1	0.8256	0.2604
FoobarAB4_BazMoo_5BABCCCCDACAABDC-1	0.91	0.2227
FoobarAB3_BazMoo_3BBBADADDCAAACDD-1	0.9778	0.2619
FoobarAB8_BazMoo_5DAABBADBDCBACCC-1	0.8916	0.187
FoobarAB7_BazMoo_2CCCDCADDCCBDDCD-1	0.2766	0.5027
FoobarAB7_BazMoo_3ACCBDBAAACADBDA-1	0.1807	0.1883
FoobarAB5_BazMoo_7BBCAABDCCDAADBA-1	0.4363	0.996
FoobarAB7_BazMoo_5BBCDCCBABAADDBC-1	0.5187	0.2531
FoobarAB1_BazMoo_7DDBBBBBCDBDACDC-1	0.5211	0.3738
FoobarAB8_BazMoo_2ABDBCCCABBDBDDD-1	0.012	0.5064
FoobarAB4_BazMoo_1CACCDCBCBCCCADB-1	0.3525	0.8159
FoobarAB7_BazMoo_7ABADAABCBBBDBAC-1	0.7707	0.946
FoobarAB3_BazMoo_4DAAADDBCACDABCD-1	0.5584	0.3431
FoobarAB2_BazMoo_2BBACBCABDBACCDB-1	0.1204	0.699
FoobarAB7_BazMoo_6ACDAACDDDDCBDCD-1	0.8472	0.2363
FoobarAB8_BazMoo_3CADABACADBBBCDD-1	0.8131	0.9539
FoobarAB1_BazMoo_6AADADDADCBADAAD-1	0.4021	0.027
FoobarAB3_BazMoo_3BCDBCDDADCBDABC-1	0.2595	0.942
FoobarAB4_BazMoo_6BAACABCACDCBBDD-1	0.5733	0.6908
FoobarAB7_BazMoo_1CAAABCDDADBCCBA-1	0.142	0.2507
FoobarAB5_BazMoo_1BCBCCBBDACBDCDC-1	0.1346	0.2694
FoobarAB7_BazMoo_1CCABAAADADCADDB-1	0.1782	0.2159
FoobarAB7_BazMoo_8DBCDABDDABDBBBB-1	0.4807	0.2941
FoobarAB6_BazMoo_8BCBBCDACCCBAAAD-1	0.9333	0.8695
FoobarAB2_BazMoo_7ABBBCCDBBADADCA-1	0.793	0.9084
FoobarAB3_BazMoo_6DACAADBAABCCDBC-1	0.0753	0.5917
FoobarAB2_BazMoo_2CAAACABDBBBDABD-1	0.1991	0.4678
FoobarAB6_BazMoo_2CDCDACCACADBADA-1	0.1379	0.1559
FoobarAB7_BazMoo_6ACADBCCCCCABABD-1	0.004	0.0301
FoobarAB4_BazMoo_1CACCBCACBDBBDAA-1	0.5313	0.613
FoobarAB6_BazMoo_3CADCCDACCDCAADD-1	0.4379	0.0113
